className,linesOfCode,linesOfComments,avgEyeFixationDuration
ch.unisg.tapas.auctionhouse.adapter.out.messaging.mqtt.PublishAuctionStartedEventMqttAdapter,6.0,3.0,42.0
ch.unisg.tapas.auctionhouse.adapter.out.messaging.mqtt.SubscribeToAuctionFeedMqttAdapter,3.0,0.0,24.0
ch.unisg.tapas.auctionhouse.adapter.out.messaging.websub.PublishAuctionStartedEventWebSubAdapter,10.0,3.0,43.0
ch.unisg.tapas.auctionhouse.adapter.out.messaging.websub.SubscribeToAuctionFeedWebSubAdapter,4.0,0.0,47.0
ch.unisg.tapas.auctionhouse.adapter.out.web.AuctionHouseDirectoryAdapter,9.0,7.0,38.0
ch.unisg.tapas.auctionhouse.adapter.out.web.PlaceBidForAuctionHttpAdapter,3.0,3.0,32.0
ch.unisg.tapas.auctionhouse.application.handler.AuctionStartedHandler,10.0,10.0,36.0
ch.unisg.tapas.auctionhouse.application.handler.ExecutorAddedHandler,0.0,0.0,8.0
ch.unisg.tapas.auctionhouse.application.handler.ExecutorRemovedHandler,4.0,4.0,11.0
ch.unisg.tapas.auctionhouse.application.port.in.auctions.AuctionStartedEvent,3.0,3.0,12.0
ch.unisg.tapas.auctionhouse.application.port.in.auctions.LaunchAuctionCommand,10.0,10.0,28.0
ch.unisg.tapas.auctionhouse.application.port.in.auctions.PlaceBidForAuctionEvent,0.0,0.0,10.0
ch.unisg.tapas.auctionhouse.application.port.in.auctions.RetrieveAuctionQuery,3.0,3.0,12.0
ch.unisg.tapas.auctionhouse.application.port.in.auctions.RetrieveOpenAuctionsQuery,4.0,4.0,5.0
ch.unisg.tapas.auctionhouse.application.port.in.executors.ExecutorAddedEvent,8.0,8.0,20.0
ch.unisg.tapas.auctionhouse.application.port.in.executors.ExecutorRemovedEvent,8.0,8.0,17.0
ch.unisg.tapas.auctionhouse.application.port.in.feeds.SubscribeToAuctionFeedCommand,3.0,3.0,12.0
ch.unisg.tapas.auctionhouse.application.port.in.feeds.SubscribeToAuctionFeedDirectoryCommand,3.0,3.0,12.0
ch.unisg.tapas.auctionhouse.application.port.out.OutputPortError,0.0,0.0,5.0
ch.unisg.tapas.auctionhouse.application.service.PlaceBidForAuctionService,0.0,0.0,16.0
ch.unisg.tapas.auctionhouse.application.service.RetrieveAuctionService,4.0,4.0,11.0
ch.unisg.tapas.auctionhouse.application.service.RetrieveOpenAuctionsService,4.0,4.0,11.0
ch.unisg.tapas.auctionhouse.application.service.StartAuctionService,16.0,11.0,47.0
ch.unisg.tapas.auctionhouse.application.service.SubscribeToAuctionFeedDirectoryService,0.0,0.0,17.0
ch.unisg.tapas.auctionhouse.application.service.SubscribeToAuctionFeedService,0.0,0.0,9.0
ch.unisg.tapas.auctionhouse.domain.Auction,61.0,38.0,140.0
ch.unisg.tapas.auctionhouse.domain.AuctionNotFoundError,0.0,0.0,1.0
ch.unisg.tapas.auctionhouse.domain.AuctionRegistry,41.0,41.0,84.0
ch.unisg.tapas.auctionhouse.domain.AuctionStartedEvent,3.0,3.0,10.0
ch.unisg.tapas.auctionhouse.domain.AuctionWonEvent,4.0,3.0,14.0
ch.unisg.tapas.auctionhouse.domain.Bid,22.0,11.0,39.0
ch.unisg.tapas.auctionhouse.domain.ExecutorRegistry,26.0,26.0,64.0
ch.unisg.tapas.common.ConfigProperties,42.0,42.0,68.0
ch.unisg.tapas.common.SelfValidating,4.0,4.0,17.0
ch.unisg.tapas.TapasAuctionHouseApplication,3.0,3.0,9.0
ch.unisg.tapas.TapasAuctionHouseApplicationTests,0.0,0.0,6.0
ch.unisg.tapasexecutorcalculator.executorcalculator.adapter.in.formats.AssignedTaskToExecutorJsonRepresentation,0.0,0.0,16.0
ch.unisg.tapasexecutorcalculator.executorcalculator.adapter.in.formats.ExecutorJsonRepresentation,0.0,0.0,14.0
ch.unisg.tapasexecutorcalculator.executorcalculator.adapter.in.web.ReceiveAssignedTaskToExecutorWebController,1.0,0.0,36.0
ch.unisg.tapasexecutorcalculator.executorcalculator.adapter.in.web.ReceiveAssignedTaskToExecutorWebControllerTest,5.0,0.0,40.0
ch.unisg.tapasexecutorcalculator.executorcalculator.adapter.in.web.ReceiveExecutorFromExecutorPoolWebController,0.0,0.0,23.0
ch.unisg.tapasexecutorcalculator.executorcalculator.adapter.out.formats.TaskEventJsonRepresentation,0.0,0.0,10.0
ch.unisg.tapasexecutorcalculator.executorcalculator.adapter.out.web.PublishNewExecutorAvailableEventWebAdapter,0.0,0.0,31.0
ch.unisg.tapasexecutorcalculator.executorcalculator.adapter.out.web.PublishTaskUpdatedEventWebAdapter,0.0,0.0,37.0
ch.unisg.tapasexecutorcalculator.executorcalculator.application.port.in.AddExecutorToExecutorListCommand,0.0,0.0,17.0
ch.unisg.tapasexecutorcalculator.executorcalculator.application.port.in.AssignedTaskToExecutorCommand,0.0,0.0,15.0
ch.unisg.tapasexecutorcalculator.executorcalculator.application.port.out.NewExecutorAvailableEvent,0.0,0.0,8.0
ch.unisg.tapasexecutorcalculator.executorcalculator.application.port.out.TaskUpdatedEvent,0.0,0.0,6.0
ch.unisg.tapasexecutorcalculator.executorcalculator.application.service.AddExecutorToExecutorListService,0.0,0.0,20.0
ch.unisg.tapasexecutorcalculator.executorcalculator.application.service.AssignedTaskToExecutorService,10.0,0.0,42.0
ch.unisg.tapasexecutorcalculator.executorcalculator.domain.Executor,1.0,0.0,42.0
ch.unisg.tapasexecutorcalculator.executorcalculator.domain.ExecutorList,0.0,0.0,24.0
ch.unisg.tapasexecutorcalculator.executorcalculator.domain.Task,0.0,0.0,32.0
ch.unisg.tapasexecutorcalculator.TapasExecutorCalculatorApplication,0.0,0.0,6.0
ch.unisg.tapasexecutorcalculator.TapasExecutorPrinterApplicationTests,0.0,0.0,6.0
ch.unisg.tapasexecutorpool.executorpool.adapter.in.formats.ExecutorJsonRepresentation,1.0,0.0,30.0
ch.unisg.tapasexecutorpool.executorpool.adapter.in.formats.ExecutorTypeJsonRepresentation,1.0,0.0,9.0
ch.unisg.tapasexecutorpool.executorpool.adapter.in.formats.RetrieveExecutorByTypeJsonRepresentation,0.0,0.0,26.0
ch.unisg.tapasexecutorpool.executorpool.adapter.in.web.AddNewExecutorToExecutorPoolWebController,1.0,0.0,32.0
ch.unisg.tapasexecutorpool.executorpool.adapter.in.web.AddNewExecutorToExecutorPoolWebControllerTest,4.0,0.0,36.0
ch.unisg.tapasexecutorpool.executorpool.adapter.in.web.DeleteExecutorFromExecutorPoolWebController,2.0,0.0,23.0
ch.unisg.tapasexecutorpool.executorpool.adapter.in.web.RetrieveExecutorById,0.0,0.0,19.0
ch.unisg.tapasexecutorpool.executorpool.adapter.in.web.RetrieveExecutorByTypeWebController,1.0,0.0,28.0
ch.unisg.tapasexecutorpool.executorpool.adapter.out.persistence.mongodb.ExecutorMapper,0.0,0.0,18.0
ch.unisg.tapasexecutorpool.executorpool.adapter.out.persistence.mongodb.ExecutorPersistenceAdapter,2.0,0.0,47.0
ch.unisg.tapasexecutorpool.executorpool.adapter.out.persistence.mongodb.ExecutorPersistenceAdapterTest,2.0,0.0,47.0
ch.unisg.tapasexecutorpool.executorpool.adapter.out.persistence.mongodb.MongoExecutorDocument,0.0,0.0,19.0
ch.unisg.tapasexecutorpool.executorpool.adapter.out.web.PublishExecutorDeletedWebAdapter,2.0,0.0,40.0
ch.unisg.tapasexecutorpool.executorpool.AddNewExecutorToExecutorPoolSystemTest,1.0,0.0,39.0
ch.unisg.tapasexecutorpool.executorpool.application.port.in.AddNewExecutorToExecutorPoolCommand,0.0,0.0,17.0
ch.unisg.tapasexecutorpool.executorpool.application.port.in.DeleteExecutorFromExecutorPoolQuery,0.0,0.0,8.0
ch.unisg.tapasexecutorpool.executorpool.application.port.in.RetrieveExecutorByIdQuery,0.0,0.0,7.0
ch.unisg.tapasexecutorpool.executorpool.application.port.in.RetrieveExecutorByTypeQuery,0.0,0.0,8.0
ch.unisg.tapasexecutorpool.executorpool.application.service.AddNewExecutorToExecutorPoolService,0.0,0.0,33.0
ch.unisg.tapasexecutorpool.executorpool.application.service.DeleteExecutorFromExecutorPoolService,0.0,0.0,23.0
ch.unisg.tapasexecutorpool.executorpool.application.service.RetrieveExecutorByIdService,0.0,0.0,22.0
ch.unisg.tapasexecutorpool.executorpool.application.service.RetrieveExecutorByTypeService,0.0,0.0,15.0
ch.unisg.tapasexecutorpool.executorpool.application.service.RetrieveExecutorByTypeServiceTest,4.0,0.0,41.0
ch.unisg.tapasexecutorpool.executorpool.DependencyRuleTest,0.0,0.0,24.0
ch.unisg.tapasexecutorpool.executorpool.domain.Executor,0.0,0.0,58.0
ch.unisg.tapasexecutorpool.executorpool.domain.ExecutorNotFoundError,0.0,0.0,1.0
ch.unisg.tapasexecutorpool.executorpool.domain.ExecutorPool,0.0,0.0,54.0
ch.unisg.tapasexecutorpool.executorpool.domain.ExecutorTest,9.0,0.0,29.0
ch.unisg.tapasexecutorpool.TapasExecutorPoolApplication,0.0,0.0,7.0
ch.unisg.tapasexecutorpool.TapasExecutorPoolApplicationTests,0.0,0.0,6.0
ch.unisg.tapasexecutorprinter.executorcalculator.adapter.in.web.ReceiveAssignedTaskToExecutorWebControllerTest,5.0,0.0,40.0
ch.unisg.tapasexecutorprinter.executorprinter.adapter.in.formats.AssignedTaskToExecutorJsonRepresentation,0.0,0.0,16.0
ch.unisg.tapasexecutorprinter.executorprinter.adapter.in.formats.ExecutorJsonRepresentation,0.0,0.0,14.0
ch.unisg.tapasexecutorprinter.executorprinter.adapter.in.web.ReceiveAssignedTaskToExecutorWebController,1.0,0.0,36.0
ch.unisg.tapasexecutorprinter.executorprinter.adapter.in.web.ReceiveExecutorFromExecutorPoolWebController,0.0,0.0,23.0
ch.unisg.tapasexecutorprinter.executorprinter.adapter.out.formats.TaskEventJsonRepresentation,0.0,0.0,10.0
ch.unisg.tapasexecutorprinter.executorprinter.adapter.out.web.PublishNewExecutorAvailableEventWebAdapter,0.0,0.0,31.0
ch.unisg.tapasexecutorprinter.executorprinter.adapter.out.web.PublishTaskUpdatedEventWebAdapter,0.0,0.0,37.0
ch.unisg.tapasexecutorprinter.executorprinter.application.port.in.AddExecutorToExecutorListCommand,0.0,0.0,17.0
ch.unisg.tapasexecutorprinter.executorprinter.application.port.in.AssignedTaskToExecutorCommand,0.0,0.0,15.0
ch.unisg.tapasexecutorprinter.executorprinter.application.port.out.NewExecutorAvailableEvent,0.0,0.0,8.0
ch.unisg.tapasexecutorprinter.executorprinter.application.port.out.TaskUpdatedEvent,0.0,0.0,6.0
ch.unisg.tapasexecutorprinter.executorprinter.application.service.AddExecutorToExecutorListService,0.0,0.0,20.0
ch.unisg.tapasexecutorprinter.executorprinter.application.service.AssignedTaskToExecutorService,10.0,0.0,42.0
ch.unisg.tapasexecutorprinter.executorprinter.domain.Executor,1.0,0.0,38.0
ch.unisg.tapasexecutorprinter.executorprinter.domain.ExecutorList,0.0,0.0,24.0
ch.unisg.tapasexecutorprinter.executorprinter.domain.Task,0.0,0.0,32.0
ch.unisg.tapasexecutorprinter.TapasExecutorPrinterApplication,0.0,0.0,6.0
ch.unisg.tapasexecutorprinter.TapasExecutorPrinterApplicationTests,0.0,0.0,6.0
ch.unisg.tapasexecutorweatherman.executorcalculator.adapter.in.web.ReceiveAssignedTaskToExecutorWebControllerTest,5.0,0.0,40.0
ch.unisg.tapasexecutorweatherman.executorweatherman.adapter.in.formats.AssignedTaskToExecutorJsonRepresentation,0.0,0.0,16.0
ch.unisg.tapasexecutorweatherman.executorweatherman.adapter.in.web.ReceiveAssignedTaskToExecutorWebController,1.0,0.0,36.0
ch.unisg.tapasexecutorweatherman.executorweatherman.adapter.out.formats.TaskEventJsonRepresentation,0.0,0.0,10.0
ch.unisg.tapasexecutorweatherman.executorweatherman.adapter.out.web.PublishTaskUpdatedEventWebAdapter,0.0,0.0,37.0
ch.unisg.tapasexecutorweatherman.executorweatherman.application.port.in.AssignedTaskToExecutorCommand,0.0,0.0,15.0
ch.unisg.tapasexecutorweatherman.executorweatherman.application.port.out.TaskUpdatedEvent,0.0,0.0,6.0
ch.unisg.tapasexecutorweatherman.executorweatherman.application.service.AssignedTaskToExecutorService,6.0,0.0,38.0
ch.unisg.tapasexecutorweatherman.executorweatherman.domain.Executor,8.0,0.0,60.0
ch.unisg.tapasexecutorweatherman.executorweatherman.domain.Task,0.0,0.0,32.0
ch.unisg.tapasexecutorweatherman.TapasExecutorPrinterApplicationTests,0.0,0.0,6.0
ch.unisg.tapasexecutorweatherman.TapasExecutorWeathermanApplication,0.0,0.0,6.0
ch.unisg.tapasroster.common.SelfValidating,4.0,4.0,17.0
ch.unisg.tapasroster.roster.adapter.in.formats.AssignmentsJsonRepresentation,7.0,0.0,45.0
ch.unisg.tapasroster.roster.adapter.in.formats.ExecutorJsonRepresentation,0.0,0.0,20.0
ch.unisg.tapasroster.roster.adapter.in.formats.TaskEventJsonRepresentation,0.0,0.0,10.0
ch.unisg.tapasroster.roster.adapter.in.formats.TaskJsonRepresentation,0.0,0.0,23.0
ch.unisg.tapasroster.roster.adapter.in.messaging.http.TaskEventDispatcher,0.0,0.0,26.0
ch.unisg.tapasroster.roster.adapter.in.web.ReceiveAvailableExecutorWebController,1.0,0.0,32.0
ch.unisg.tapasroster.roster.adapter.in.web.ReceiveTaskFromTastListWebController,1.0,0.0,34.0
ch.unisg.tapasroster.roster.adapter.in.web.RetrieveAllAssignmentsWebController,0.0,0.0,19.0
ch.unisg.tapasroster.roster.adapter.out.formats.AuctionJsonRepresentation,0.0,0.0,22.0
ch.unisg.tapasroster.roster.adapter.out.formats.ExecutorJsonRepresentation,0.0,0.0,18.0
ch.unisg.tapasroster.roster.adapter.out.formats.FindExecutorByTypeRequestJsonRepresentation,1.0,0.0,9.0
ch.unisg.tapasroster.roster.adapter.out.persistence.mongodb.AssignmentMapper,0.0,0.0,37.0
ch.unisg.tapasroster.roster.adapter.out.persistence.mongodb.AssignmentPersistenceAdapter,0.0,0.0,31.0
ch.unisg.tapasroster.roster.adapter.out.persistence.mongodb.MongoAssignmentDocument,0.0,0.0,38.0
ch.unisg.tapasroster.roster.adapter.out.web.FindExecutorByTypeWebAdapter,16.0,0.0,61.0
ch.unisg.tapasroster.roster.adapter.out.web.LaunchAuctionWebAdapter,0.0,0.0,37.0
ch.unisg.tapasroster.roster.adapter.out.web.PublishTaskAssignedToExecutorEventWebAdapter,0.0,0.0,31.0
ch.unisg.tapasroster.roster.adapter.out.web.PublishTaskUpdatedEventWebAdapter,0.0,0.0,38.0
ch.unisg.tapasroster.roster.application.port.in.AddExecutorToAvailableExecutorsCommand,0.0,0.0,17.0
ch.unisg.tapasroster.roster.application.port.in.AddTaskToAssignmentsCommand,0.0,0.0,8.0
ch.unisg.tapasroster.roster.application.port.in.AssignTaskToExecutorCommand,0.0,0.0,8.0
ch.unisg.tapasroster.roster.application.port.in.TaskEvent,0.0,0.0,9.0
ch.unisg.tapasroster.roster.application.port.out.TaskAssignedToExecutorEvent,0.0,0.0,19.0
ch.unisg.tapasroster.roster.application.port.out.TaskUpdatedEvent,0.0,0.0,6.0
ch.unisg.tapasroster.roster.application.service.AddExecutorToAvailableExecutorsService,0.0,0.0,16.0
ch.unisg.tapasroster.roster.application.service.AddTaskToAssignmentsService,0.0,0.0,24.0
ch.unisg.tapasroster.roster.application.service.AssignTaskToExecutorService,5.0,0.0,37.0
ch.unisg.tapasroster.roster.application.service.GetAllAssignmentsService,0.0,0.0,12.0
ch.unisg.tapasroster.roster.application.service.TaskEventHandlerService,2.0,0.0,44.0
ch.unisg.tapasroster.roster.AssignTaskToExecutorSystemTest,1.0,0.0,44.0
ch.unisg.tapasroster.roster.DependencyRuleTest,0.0,0.0,23.0
ch.unisg.tapasroster.roster.domain.Assignment,2.0,0.0,79.0
ch.unisg.tapasroster.roster.domain.AssignmentList,0.0,0.0,28.0
ch.unisg.tapasroster.roster.domain.AssignmentNotFoundError,0.0,0.0,2.0
ch.unisg.tapasroster.roster.domain.Executor,0.0,0.0,24.0
ch.unisg.tapasroster.roster.domain.ExecutorList,0.0,0.0,25.0
ch.unisg.tapasroster.roster.domain.Task,0.0,0.0,24.0
ch.unisg.tapasroster.TapasRosterApplication,0.0,0.0,6.0
ch.unisg.tapasroster.TapasRosterApplicationTests,0.0,0.0,6.0
ch.unisg.tapastasks.common.SelfValidating,4.0,4.0,17.0
ch.unisg.tapastasks.TapasTasksApplication,0.0,0.0,8.0
ch.unisg.tapastasks.TapasTasksApplicationTests,0.0,0.0,6.0
ch.unisg.tapastasks.tasks.adapter.in.formats.StatusJsonRepresentation,13.0,11.0,31.0
ch.unisg.tapastasks.tasks.adapter.in.formats.TaskJsonPatchRepresentation,28.0,28.0,78.0
ch.unisg.tapastasks.tasks.adapter.in.formats.TaskJsonRepresentation,53.0,33.0,117.0
ch.unisg.tapastasks.tasks.adapter.in.messaging.http.TaskAssignedEventListenerHttpAdapter,15.0,15.0,26.0
ch.unisg.tapastasks.tasks.adapter.in.messaging.http.TaskEventHttpDispatcher,34.0,26.0,74.0
ch.unisg.tapastasks.tasks.adapter.in.messaging.http.TaskEventListener,13.0,13.0,16.0
ch.unisg.tapastasks.tasks.adapter.in.messaging.http.TaskExecutedEventListenerHttpAdapter,14.0,14.0,27.0
ch.unisg.tapastasks.tasks.adapter.in.messaging.http.TaskStartedEventListenerHttpAdapter,13.0,13.0,24.0
ch.unisg.tapastasks.tasks.adapter.in.messaging.UnknownEventException,0.0,0.0,1.0
ch.unisg.tapastasks.tasks.adapter.in.web.AddNewTaskToTaskListWebController,19.0,9.0,46.0
ch.unisg.tapastasks.tasks.adapter.in.web.AddNewTaskToTaskListWebControllerTest,0.0,0.0,35.0
ch.unisg.tapastasks.tasks.adapter.in.web.CheckStatusOfTaskWebController,15.0,14.0,37.0
ch.unisg.tapastasks.tasks.adapter.in.web.DeleteTaskFromTaskListWebController,2.0,0.0,23.0
ch.unisg.tapastasks.tasks.adapter.in.web.RetrieveTaskFromTaskListWebController,15.0,14.0,35.0
ch.unisg.tapastasks.tasks.adapter.in.web.RetrieveTasksByStatusWebController,5.0,5.0,25.0
ch.unisg.tapastasks.tasks.adapter.out.persistence.mongodb.MongoTaskDocument,0.0,0.0,26.0
ch.unisg.tapastasks.tasks.adapter.out.persistence.mongodb.TaskMapper,0.0,0.0,40.0
ch.unisg.tapastasks.tasks.adapter.out.persistence.mongodb.TaskPersistenceAdapter,2.0,0.0,54.0
ch.unisg.tapastasks.tasks.adapter.out.persistence.mongodb.TaskPersistenceAdapterTest,0.0,0.0,60.0
ch.unisg.tapastasks.tasks.adapter.out.web.PublishDelegatedTaskExecutedEventWebAdapter,0.0,0.0,26.0
ch.unisg.tapastasks.tasks.adapter.out.web.PublishNewTaskAddedEventWebAdapter,4.0,0.0,35.0
ch.unisg.tapastasks.tasks.AddNewTaskToTaskListSystemTest,0.0,0.0,39.0
ch.unisg.tapastasks.tasks.application.handler.TaskAssignedHandler,0.0,0.0,16.0
ch.unisg.tapastasks.tasks.application.handler.TaskExecutedHandler,1.0,0.0,26.0
ch.unisg.tapastasks.tasks.application.handler.TaskStartedHandler,0.0,0.0,16.0
ch.unisg.tapastasks.tasks.application.port.in.AddNewTaskToTaskListCommand,0.0,0.0,19.0
ch.unisg.tapastasks.tasks.application.port.in.CheckStatusOfTaskQuery,0.0,0.0,9.0
ch.unisg.tapastasks.tasks.application.port.in.DeleteTaskFromTaskListQuery,0.0,0.0,9.0
ch.unisg.tapastasks.tasks.application.port.in.RetrieveTaskFromTaskListQuery,0.0,0.0,9.0
ch.unisg.tapastasks.tasks.application.port.in.RetrieveTasksByStatusQuery,0.0,0.0,9.0
ch.unisg.tapastasks.tasks.application.port.in.TaskAssignedEvent,0.0,0.0,12.0
ch.unisg.tapastasks.tasks.application.port.in.TaskExecutedEvent,0.0,0.0,15.0
ch.unisg.tapastasks.tasks.application.port.in.TaskStartedEvent,0.0,0.0,12.0
ch.unisg.tapastasks.tasks.application.port.out.DelegatedTaskExecutedEvent,0.0,0.0,10.0
ch.unisg.tapastasks.tasks.application.port.out.NewTaskAddedEvent,0.0,0.0,12.0
ch.unisg.tapastasks.tasks.application.service.AddNewTaskToTaskListService,5.0,0.0,39.0
ch.unisg.tapastasks.tasks.application.service.AddNewTaskToTaskListServiceTest,0.0,0.0,33.0
ch.unisg.tapastasks.tasks.application.service.CheckStatusOfTaskService,2.0,0.0,20.0
ch.unisg.tapastasks.tasks.application.service.DeleteTaskFromTaskListService,0.0,0.0,21.0
ch.unisg.tapastasks.tasks.application.service.NoOpTaskListLock,2.0,0.0,11.0
ch.unisg.tapastasks.tasks.application.service.RetrieveTaskFromTaskListService,2.0,0.0,20.0
ch.unisg.tapastasks.tasks.application.service.RetrieveTasksByStatusService,0.0,0.0,14.0
ch.unisg.tapastasks.tasks.archunit.Adapters,0.0,0.0,45.0
ch.unisg.tapastasks.tasks.archunit.ApplicationLayer,0.0,0.0,42.0
ch.unisg.tapastasks.tasks.archunit.ArchitectureElement,0.0,0.0,50.0
ch.unisg.tapastasks.tasks.archunit.HexagonalArchitecture,0.0,0.0,44.0
ch.unisg.tapastasks.tasks.DependencyRuleTests,0.0,0.0,13.0
ch.unisg.tapastasks.tasks.domain.Task,5.0,1.0,56.0
ch.unisg.tapastasks.tasks.domain.TaskList,10.0,1.0,77.0
ch.unisg.tapastasks.tasks.domain.TaskNotFoundError,0.0,0.0,1.0
