avgEyeFixationDuration,timestamp,className,linesOfCode,linesOfComments,someAttribute
2,20240115094215820,ch.unisg.tapas.auctionhouse.adapter.in.web.RetrieveAuctionWebController,13.0,13.0,34.0
6,20240115091432041,ch.unisg.tapas.auctionhouse.adapter.in.web.RetrieveOpenAuctionsWebController,14.0,13.0,412
5,20240115093103602,ch.unisg.tapas.auctionhouse.adapter.in.web.SubscribeToAuctionFeedDirectoryWebController,13.0,12.0,512
15,20240115091058270,ch.unisg.tapas.auctionhouse.adapter.in.web.SubscribeToAuctionFeedWebController,11.0,11.0,24.0
12,20240115091950546,ch.unisg.tapas.auctionhouse.adapter.out.messaging.http.AuctionWonEventHttpAdapter,5.0,4.0,39.0
3,20240115090247633,ch.unisg.tapas.auctionhouse.adapter.out.messaging.mqtt.PlaceBidForAuctionMqttAdapter,4.0,3.0,35.0
14,20240115095344534,ch.unisg.tapas.auctionhouse.adapter.out.messaging.mqtt.PublishAuctionStartedEventMqttAdapter,6.0,3.0,42.0
11,20240115091422824,ch.unisg.tapas.auctionhouse.adapter.out.messaging.mqtt.SubscribeToAuctionFeedMqttAdapter,3.0,12,24.0
5,20240115094915398,ch.unisg.tapas.auctionhouse.adapter.out.messaging.websub.PublishAuctionStartedEventWebSubAdapter,112,3.0,43.0
7,20240115092925211,ch.unisg.tapas.auctionhouse.adapter.out.messaging.websub.SubscribeToAuctionFeedWebSubAdapter,4.0,12,47.0
2,20240115094757945,ch.unisg.tapas.auctionhouse.adapter.out.web.AuctionHouseDirectoryAdapter,9.0,7.0,38.0
13,20240115092754191,ch.unisg.tapas.auctionhouse.adapter.out.web.PlaceBidForAuctionHttpAdapter,3.0,3.0,32.0
7,20240115091411770,ch.unisg.tapas.auctionhouse.application.handler.AuctionStartedHandler,112,112,36.0
15,20240115095925123,ch.unisg.tapas.auctionhouse.application.handler.ExecutorAddedHandler,12,12,8.0
9,20240115092226120,ch.unisg.tapas.auctionhouse.application.handler.ExecutorRemovedHandler,4.0,4.0,11.0
3,20240115093510748,ch.unisg.tapas.auctionhouse.application.port.in.auctions.AuctionStartedEvent,3.0,3.0,12.0
5,20240115095642211,ch.unisg.tapas.auctionhouse.application.port.in.auctions.LaunchAuctionCommand,112,112,28.0
12,20240115092417163,ch.unisg.tapas.auctionhouse.application.port.in.auctions.PlaceBidForAuctionEvent,12,12,112
7,20240115093423609,ch.unisg.tapas.auctionhouse.application.port.in.auctions.RetrieveAuctionQuery,3.0,3.0,12.0
3,20240115095755693,ch.unisg.tapas.auctionhouse.application.port.in.auctions.RetrieveOpenAuctionsQuery,4.0,4.0,5.0
5,20240115090840413,ch.unisg.tapas.auctionhouse.application.port.in.executors.ExecutorAddedEvent,8.0,8.0,212
15,20240115095156248,ch.unisg.tapas.auctionhouse.application.port.in.executors.ExecutorRemovedEvent,8.0,8.0,17.0
4,20240115090527193,ch.unisg.tapas.auctionhouse.application.port.in.feeds.SubscribeToAuctionFeedCommand,3.0,3.0,12.0
10,20240115094108482,ch.unisg.tapas.auctionhouse.application.port.in.feeds.SubscribeToAuctionFeedDirectoryCommand,3.0,3.0,12.0
2,20240115091314983,ch.unisg.tapas.auctionhouse.application.port.out.OutputPortError,12,12,5.0
14,20240115091911206,ch.unisg.tapas.auctionhouse.application.service.PlaceBidForAuctionService,12,12,16.0
12,20240115094103028,ch.unisg.tapas.auctionhouse.application.service.RetrieveAuctionService,4.0,4.0,11.0
14,20240115094058033,ch.unisg.tapas.auctionhouse.application.service.RetrieveOpenAuctionsService,4.0,4.0,11.0
2,20240115091235633,ch.unisg.tapas.auctionhouse.application.service.StartAuctionService,16.0,11.0,47.0
14,20240115093025688,ch.unisg.tapas.auctionhouse.application.service.SubscribeToAuctionFeedDirectoryService,12,12,17.0
10,20240115091928475,ch.unisg.tapas.auctionhouse.application.service.SubscribeToAuctionFeedService,12,12,9.0
15,20240115090651130,ch.unisg.tapas.auctionhouse.domain.Auction,61.0,38.0,1412
10,20240115095704472,ch.unisg.tapas.auctionhouse.domain.AuctionNotFoundError,12,12,1.0
9,20240115092156976,ch.unisg.tapas.auctionhouse.domain.AuctionRegistry,41.0,41.0,84.0
6,20240115094231812,ch.unisg.tapas.auctionhouse.domain.AuctionStartedEvent,3.0,3.0,112
13,20240115093304358,ch.unisg.tapas.auctionhouse.domain.AuctionWonEvent,4.0,3.0,14.0
7,20240115094754693,ch.unisg.tapas.auctionhouse.domain.Bid,22.0,11.0,39.0
12,20240115095812436,ch.unisg.tapas.auctionhouse.domain.ExecutorRegistry,26.0,26.0,64.0
15,20240115092632237,ch.unisg.tapas.common.ConfigProperties,42.0,42.0,68.0
2,20240115091123208,ch.unisg.tapas.common.SelfValidating,4.0,4.0,17.0
13,20240115093946877,ch.unisg.tapas.TapasAuctionHouseApplication,3.0,3.0,9.0
8,20240115095309598,ch.unisg.tapas.TapasAuctionHouseApplicationTests,12,12,6.0
5,20240115093728220,ch.unisg.tapasexecutorcalculator.executorcalculator.adapter.in.formats.AssignedTaskToExecutorJsonRepresentation,12,12,16.0
6,20240115090849031,ch.unisg.tapasexecutorcalculator.executorcalculator.adapter.in.formats.ExecutorJsonRepresentation,12,12,14.0
6,20240115095601418,ch.unisg.tapasexecutorcalculator.executorcalculator.adapter.in.web.ReceiveAssignedTaskToExecutorWebController,1.0,12,36.0
15,20240115090356832,ch.unisg.tapasexecutorcalculator.executorcalculator.adapter.in.web.ReceiveAssignedTaskToExecutorWebControllerTest,5.0,12,412
9,20240115093730120,ch.unisg.tapasexecutorcalculator.executorcalculator.adapter.in.web.ReceiveExecutorFromExecutorPoolWebController,12,12,23.0
4,20240115092923619,ch.unisg.tapasexecutorcalculator.executorcalculator.adapter.out.formats.TaskEventJsonRepresentation,12,12,112
12,20240115091725323,ch.unisg.tapasexecutorcalculator.executorcalculator.adapter.out.web.PublishNewExecutorAvailableEventWebAdapter,12,12,31.0
2,20240115095455051,ch.unisg.tapasexecutorcalculator.executorcalculator.adapter.out.web.PublishTaskUpdatedEventWebAdapter,12,12,37.0
8,20240115094938294,ch.unisg.tapasexecutorcalculator.executorcalculator.application.port.in.AddExecutorToExecutorListCommand,12,12,17.0
9,20240115091658639,ch.unisg.tapasexecutorcalculator.executorcalculator.application.port.in.AssignedTaskToExecutorCommand,12,12,15.0
6,20240115094021877,ch.unisg.tapasexecutorcalculator.executorcalculator.application.port.out.NewExecutorAvailableEvent,12,12,8.0
9,20240115091619609,ch.unisg.tapasexecutorcalculator.executorcalculator.application.port.out.TaskUpdatedEvent,12,12,6.0
15,20240115095432466,ch.unisg.tapasexecutorcalculator.executorcalculator.application.service.AddExecutorToExecutorListService,12,12,212
8,20240115093348198,ch.unisg.tapasexecutorcalculator.executorcalculator.application.service.AssignedTaskToExecutorService,112,12,42.0
11,20240115092113737,ch.unisg.tapasexecutorcalculator.executorcalculator.domain.Executor,1.0,12,42.0
11,20240115090722312,ch.unisg.tapasexecutorcalculator.executorcalculator.domain.ExecutorList,12,12,24.0
9,20240115092121323,ch.unisg.tapasexecutorcalculator.executorcalculator.domain.Task,12,12,32.0
12,20240115090418757,ch.unisg.tapasexecutorcalculator.TapasExecutorCalculatorApplication,12,12,6.0
4,20240115094635327,ch.unisg.tapasexecutorcalculator.TapasExecutorPrinterApplicationTests,12,12,6.0
15,20240115095839755,ch.unisg.tapasexecutorpool.executorpool.adapter.in.formats.ExecutorJsonRepresentation,1.0,12,312
11,20240115090435483,ch.unisg.tapasexecutorpool.executorpool.adapter.in.formats.ExecutorTypeJsonRepresentation,1.0,12,9.0
7,20240115092729350,ch.unisg.tapasexecutorpool.executorpool.adapter.in.formats.RetrieveExecutorByTypeJsonRepresentation,12,12,26.0
11,20240115093940388,ch.unisg.tapasexecutorpool.executorpool.adapter.in.web.AddNewExecutorToExecutorPoolWebController,1.0,12,32.0
11,20240115093943401,ch.unisg.tapasexecutorpool.executorpool.adapter.in.web.AddNewExecutorToExecutorPoolWebControllerTest,4.0,12,36.0
10,20240115093527638,ch.unisg.tapasexecutorpool.executorpool.adapter.in.web.DeleteExecutorFromExecutorPoolWebController,2.0,12,23.0
8,20240115092931888,ch.unisg.tapasexecutorpool.executorpool.adapter.in.web.RetrieveExecutorById,12,12,19.0
3,20240115090635033,ch.unisg.tapasexecutorpool.executorpool.adapter.in.web.RetrieveExecutorByTypeWebController,1.0,12,28.0
15,20240115092012934,ch.unisg.tapasexecutorpool.executorpool.adapter.out.persistence.mongodb.ExecutorMapper,12,12,18.0
3,20240115090958323,ch.unisg.tapasexecutorpool.executorpool.adapter.out.persistence.mongodb.ExecutorPersistenceAdapter,2.0,12,47.0
2,20240115092243918,ch.unisg.tapasexecutorpool.executorpool.adapter.out.persistence.mongodb.ExecutorPersistenceAdapterTest,2.0,12,47.0
9,20240115090303579,ch.unisg.tapasexecutorpool.executorpool.adapter.out.persistence.mongodb.MongoExecutorDocument,12,12,19.0
4,20240115094945054,ch.unisg.tapasexecutorpool.executorpool.adapter.out.web.PublishExecutorDeletedWebAdapter,2.0,12,412
9,20240115092816557,ch.unisg.tapasexecutorpool.executorpool.AddNewExecutorToExecutorPoolSystemTest,1.0,12,39.0
14,20240115093843439,ch.unisg.tapasexecutorpool.executorpool.application.port.in.AddNewExecutorToExecutorPoolCommand,12,12,17.0
4,20240115092549106,ch.unisg.tapasexecutorpool.executorpool.application.port.in.DeleteExecutorFromExecutorPoolQuery,12,12,8.0
8,20240115090618263,ch.unisg.tapasexecutorpool.executorpool.application.port.in.RetrieveExecutorByIdQuery,12,12,7.0
2,20240115092730881,ch.unisg.tapasexecutorpool.executorpool.application.port.in.RetrieveExecutorByTypeQuery,12,12,8.0
6,20240115090956467,ch.unisg.tapasexecutorpool.executorpool.application.service.AddNewExecutorToExecutorPoolService,12,12,33.0
15,20240115094523627,ch.unisg.tapasexecutorpool.executorpool.application.service.DeleteExecutorFromExecutorPoolService,12,12,23.0
12,20240115095851831,ch.unisg.tapasexecutorpool.executorpool.application.service.RetrieveExecutorByIdService,12,12,22.0
7,20240115094428456,ch.unisg.tapasexecutorpool.executorpool.application.service.RetrieveExecutorByTypeService,12,12,15.0
6,20240115093720648,ch.unisg.tapasexecutorpool.executorpool.application.service.RetrieveExecutorByTypeServiceTest,4.0,12,41.0
8,20240115090855839,ch.unisg.tapasexecutorpool.executorpool.DependencyRuleTest,12,12,24.0
7,20240115094815703,ch.unisg.tapasexecutorpool.executorpool.domain.Executor,12,12,58.0
13,20240115094326876,ch.unisg.tapasexecutorpool.executorpool.domain.ExecutorNotFoundError,12,12,1.0
6,20240115095045324,ch.unisg.tapasexecutorpool.executorpool.domain.ExecutorPool,12,12,54.0
13,20240115093829187,ch.unisg.tapasexecutorpool.executorpool.domain.ExecutorTest,9.0,12,29.0
3,20240115091435047,ch.unisg.tapasexecutorpool.TapasExecutorPoolApplication,12,12,7.0
7,20240115094205668,ch.unisg.tapasexecutorpool.TapasExecutorPoolApplicationTests,12,12,6.0
13,20240115095634062,ch.unisg.tapasexecutorprinter.executorcalculator.adapter.in.web.ReceiveAssignedTaskToExecutorWebControllerTest,5.0,12,412
2,20240115094236940,ch.unisg.tapasexecutorprinter.executorprinter.adapter.in.formats.AssignedTaskToExecutorJsonRepresentation,12,12,16.0
10,20240115095033830,ch.unisg.tapasexecutorprinter.executorprinter.adapter.in.formats.ExecutorJsonRepresentation,12,12,14.0
2,20240115095641808,ch.unisg.tapasexecutorprinter.executorprinter.adapter.in.web.ReceiveAssignedTaskToExecutorWebController,1.0,12,36.0
5,20240115092550222,ch.unisg.tapasexecutorprinter.executorprinter.adapter.in.web.ReceiveExecutorFromExecutorPoolWebController,12,12,23.0
9,20240115095402358,ch.unisg.tapasexecutorprinter.executorprinter.adapter.out.formats.TaskEventJsonRepresentation,12,12,112
9,20240115091706997,ch.unisg.tapasexecutorprinter.executorprinter.adapter.out.web.PublishNewExecutorAvailableEventWebAdapter,12,12,31.0
8,20240115094246968,ch.unisg.tapasexecutorprinter.executorprinter.adapter.out.web.PublishTaskUpdatedEventWebAdapter,12,12,37.0
9,20240115090436626,ch.unisg.tapasexecutorprinter.executorprinter.application.port.in.AddExecutorToExecutorListCommand,12,12,17.0
14,20240115091410538,ch.unisg.tapasexecutorprinter.executorprinter.application.port.in.AssignedTaskToExecutorCommand,12,12,15.0
11,20240115095101645,ch.unisg.tapasexecutorprinter.executorprinter.application.port.out.NewExecutorAvailableEvent,12,12,8.0
11,20240115095712399,ch.unisg.tapasexecutorprinter.executorprinter.application.port.out.TaskUpdatedEvent,12,12,6.0
8,20240115091356340,ch.unisg.tapasexecutorprinter.executorprinter.application.service.AddExecutorToExecutorListService,12,12,212
12,20240115090021539,ch.unisg.tapasexecutorprinter.executorprinter.application.service.AssignedTaskToExecutorService,112,12,42.0
9,20240115091302442,ch.unisg.tapasexecutorprinter.executorprinter.domain.Executor,1.0,12,38.0
3,20240115095335728,ch.unisg.tapasexecutorprinter.executorprinter.domain.ExecutorList,12,12,24.0
9,20240115091556573,ch.unisg.tapasexecutorprinter.executorprinter.domain.Task,12,12,32.0
6,20240115090813696,ch.unisg.tapasexecutorprinter.TapasExecutorPrinterApplication,12,12,6.0
2,20240115091054723,ch.unisg.tapasexecutorprinter.TapasExecutorPrinterApplicationTests,12,12,6.0
8,20240115095027440,ch.unisg.tapasexecutorweatherman.executorcalculator.adapter.in.web.ReceiveAssignedTaskToExecutorWebControllerTest,5.0,12,412
11,20240115091126014,ch.unisg.tapasexecutorweatherman.executorweatherman.adapter.in.formats.AssignedTaskToExecutorJsonRepresentation,12,12,16.0
2,20240115091031886,ch.unisg.tapasexecutorweatherman.executorweatherman.adapter.in.web.ReceiveAssignedTaskToExecutorWebController,1.0,12,36.0
5,20240115090943319,ch.unisg.tapasexecutorweatherman.executorweatherman.adapter.out.formats.TaskEventJsonRepresentation,12,12,112
13,20240115092449183,ch.unisg.tapasexecutorweatherman.executorweatherman.adapter.out.web.PublishTaskUpdatedEventWebAdapter,12,12,37.0
5,20240115093340282,ch.unisg.tapasexecutorweatherman.executorweatherman.application.port.in.AssignedTaskToExecutorCommand,12,12,15.0
13,20240115095551528,ch.unisg.tapasexecutorweatherman.executorweatherman.application.port.out.TaskUpdatedEvent,12,12,6.0
3,20240115092556793,ch.unisg.tapasexecutorweatherman.executorweatherman.application.service.AssignedTaskToExecutorService,6.0,12,38.0
3,20240115091509274,ch.unisg.tapasexecutorweatherman.executorweatherman.domain.Executor,8.0,12,612
5,20240115094238971,ch.unisg.tapasexecutorweatherman.executorweatherman.domain.Task,12,12,32.0
7,20240115093800449,ch.unisg.tapasexecutorweatherman.TapasExecutorPrinterApplicationTests,12,12,6.0
4,20240115093911848,ch.unisg.tapasexecutorweatherman.TapasExecutorWeathermanApplication,12,12,6.0
4,20240115092310052,ch.unisg.tapasroster.common.SelfValidating,4.0,4.0,17.0
4,20240115092831207,ch.unisg.tapasroster.roster.adapter.in.formats.AssignmentsJsonRepresentation,7.0,12,45.0
15,20240115094145790,ch.unisg.tapasroster.roster.adapter.in.formats.ExecutorJsonRepresentation,12,12,212
12,20240115091651346,ch.unisg.tapasroster.roster.adapter.in.formats.TaskEventJsonRepresentation,12,12,112
10,20240115094415716,ch.unisg.tapasroster.roster.adapter.in.formats.TaskJsonRepresentation,12,12,23.0
8,20240115093832925,ch.unisg.tapasroster.roster.adapter.in.messaging.http.TaskEventDispatcher,12,12,26.0
10,20240115091049286,ch.unisg.tapasroster.roster.adapter.in.web.ReceiveAvailableExecutorWebController,1.0,12,32.0
5,20240115094739093,ch.unisg.tapasroster.roster.adapter.in.web.ReceiveTaskFromTastListWebController,1.0,12,34.0
14,20240115092724092,ch.unisg.tapasroster.roster.adapter.in.web.RetrieveAllAssignmentsWebController,12,12,19.0
14,20240115090441184,ch.unisg.tapasroster.roster.adapter.out.formats.AuctionJsonRepresentation,12,12,22.0
8,20240115092657290,ch.unisg.tapasroster.roster.adapter.out.formats.ExecutorJsonRepresentation,12,12,18.0
6,20240115094800913,ch.unisg.tapasroster.roster.adapter.out.formats.FindExecutorByTypeRequestJsonRepresentation,1.0,12,9.0
11,20240115094034131,ch.unisg.tapasroster.roster.adapter.out.persistence.mongodb.AssignmentMapper,12,12,37.0
9,20240115095303549,ch.unisg.tapasroster.roster.adapter.out.persistence.mongodb.AssignmentPersistenceAdapter,12,12,31.0
10,20240115091125141,ch.unisg.tapasroster.roster.adapter.out.persistence.mongodb.MongoAssignmentDocument,12,12,38.0
15,20240115093410042,ch.unisg.tapasroster.roster.adapter.out.web.FindExecutorByTypeWebAdapter,16.0,12,61.0
7,20240115091432246,ch.unisg.tapasroster.roster.adapter.out.web.LaunchAuctionWebAdapter,12,12,37.0
11,20240115092925988,ch.unisg.tapasroster.roster.adapter.out.web.PublishTaskAssignedToExecutorEventWebAdapter,12,12,31.0
11,20240115094202682,ch.unisg.tapasroster.roster.adapter.out.web.PublishTaskUpdatedEventWebAdapter,12,12,38.0
5,20240115090758782,ch.unisg.tapasroster.roster.application.port.in.AddExecutorToAvailableExecutorsCommand,12,12,17.0
6,20240115090155136,ch.unisg.tapasroster.roster.application.port.in.AddTaskToAssignmentsCommand,12,12,8.0
6,20240115091534390,ch.unisg.tapasroster.roster.application.port.in.AssignTaskToExecutorCommand,12,12,8.0
8,20240115094847125,ch.unisg.tapasroster.roster.application.port.in.TaskEvent,12,12,9.0
13,20240115095203320,ch.unisg.tapasroster.roster.application.port.out.TaskAssignedToExecutorEvent,12,12,19.0
2,20240115093257898,ch.unisg.tapasroster.roster.application.port.out.TaskUpdatedEvent,12,12,12.0
3,20240115091744073,ch.unisg.tapasroster.roster.application.service.AddExecutorToAvailableExecutorsService,12,12,16.0
13,20240115094542162,ch.unisg.tapasroster.roster.application.service.AddTaskToAssignmentsService,12,12,24.0
4,20240115091900641,ch.unisg.tapasroster.roster.application.service.AssignTaskToExecutorService,5.0,12,37.0
15,20240115091117335,ch.unisg.tapasroster.roster.application.service.GetAllAssignmentsService,12,12,12.0
6,20240115095943282,ch.unisg.tapasroster.roster.application.service.TaskEventHandlerService,2.0,12,44.0
7,20240115095008002,ch.unisg.tapasroster.roster.AssignTaskToExecutorSystemTest,1.0,12,44.0
7,20240115092807401,ch.unisg.tapasroster.roster.DependencyRuleTest,12,12,23.0
3,20240115091053095,ch.unisg.tapasroster.roster.domain.Assignment,2.0,12,79.0
7,20240115091046883,ch.unisg.tapasroster.roster.domain.AssignmentList,12,12,28.0
8,20240115090026423,ch.unisg.tapasroster.roster.domain.AssignmentNotFoundError,12,12,2.0
5,20240115093118881,ch.unisg.tapasroster.roster.domain.Executor,12,12,24.0
8,20240115090810605,ch.unisg.tapasroster.roster.domain.ExecutorList,12,12,25.0
14,20240115091730576,ch.unisg.tapasroster.roster.domain.Task,12,12,24.0
8,20240115090253293,ch.unisg.tapasroster.TapasRosterApplication,12,12,6.0
11,20240115090348962,ch.unisg.tapasroster.TapasRosterApplicationTests,12,12,6.0
8,20240115093227500,ch.unisg.tapastasks.common.SelfValidating,4.0,4.0,17.0
11,20240115093345699,ch.unisg.tapastasks.TapasTasksApplication,12,12,8.0
6,20240115093525830,ch.unisg.tapastasks.TapasTasksApplicationTests,12,12,6.0
14,20240115095346472,ch.unisg.tapastasks.tasks.adapter.in.formats.StatusJsonRepresentation,13.0,11.0,31.0
2,20240115091934752,ch.unisg.tapastasks.tasks.adapter.in.formats.TaskJsonPatchRepresentation,28.0,28.0,78.0
7,20240115091425802,ch.unisg.tapastasks.tasks.adapter.in.formats.TaskJsonRepresentation,53.0,33.0,117.0
9,20240115093645485,ch.unisg.tapastasks.tasks.adapter.in.messaging.http.TaskAssignedEventListenerHttpAdapter,15.0,15.0,26.0
11,20240115093709025,ch.unisg.tapastasks.tasks.adapter.in.messaging.http.TaskEventHttpDispatcher,34.0,26.0,74.0
9,20240115090555878,ch.unisg.tapastasks.tasks.adapter.in.messaging.http.TaskEventListener,13.0,13.0,16.0
10,20240115095515355,ch.unisg.tapastasks.tasks.adapter.in.messaging.http.TaskExecutedEventListenerHttpAdapter,14.0,14.0,27.0
4,20240115095828611,ch.unisg.tapastasks.tasks.adapter.in.messaging.http.TaskStartedEventListenerHttpAdapter,13.0,13.0,24.0
7,20240115092852797,ch.unisg.tapastasks.tasks.adapter.in.messaging.UnknownEventException,12,12,1.0
9,20240115092856258,ch.unisg.tapastasks.tasks.adapter.in.web.AddNewTaskToTaskListWebController,19.0,9.0,46.0
12,20240115093042993,ch.unisg.tapastasks.tasks.adapter.in.web.AddNewTaskToTaskListWebControllerTest,12,12,35.0
8,20240115091518786,ch.unisg.tapastasks.tasks.adapter.in.web.CheckStatusOfTaskWebController,15.0,14.0,37.0
2,20240115095211780,ch.unisg.tapastasks.tasks.adapter.in.web.DeleteTaskFromTaskListWebController,2.0,12,23.0
14,20240115095338013,ch.unisg.tapastasks.tasks.adapter.in.web.RetrieveTaskFromTaskListWebController,15.0,14.0,35.0
7,20240115090613502,ch.unisg.tapastasks.tasks.adapter.in.web.RetrieveTasksByStatusWebController,5.0,5.0,25.0
3,20240115093653829,ch.unisg.tapastasks.tasks.adapter.out.persistence.mongodb.MongoTaskDocument,12,12,26.0
8,20240115093038133,ch.unisg.tapastasks.tasks.adapter.out.persistence.mongodb.TaskMapper,12,12,412
11,20240115092412738,ch.unisg.tapastasks.tasks.adapter.out.persistence.mongodb.TaskPersistenceAdapter,2.0,12,54.0
7,20240115093018278,ch.unisg.tapastasks.tasks.adapter.out.persistence.mongodb.TaskPersistenceAdapterTest,12,12,612
5,20240115095922229,ch.unisg.tapastasks.tasks.adapter.out.web.PublishDelegatedTaskExecutedEventWebAdapter,12,12,26.0
11,20240115093548046,ch.unisg.tapastasks.tasks.adapter.out.web.PublishNewTaskAddedEventWebAdapter,4.0,12,35.0
13,20240115095700075,ch.unisg.tapastasks.tasks.AddNewTaskToTaskListSystemTest,12,12,39.0
5,20240115094720616,ch.unisg.tapastasks.tasks.application.handler.TaskAssignedHandler,12,12,16.0
7,20240115092338706,ch.unisg.tapastasks.tasks.application.handler.TaskExecutedHandler,1.0,12,26.0
15,20240115090134077,ch.unisg.tapastasks.tasks.application.handler.TaskStartedHandler,12,12,16.0
13,20240115091714202,ch.unisg.tapastasks.tasks.application.port.in.AddNewTaskToTaskListCommand,12,12,19.0
10,20240115091922193,ch.unisg.tapastasks.tasks.application.port.in.CheckStatusOfTaskQuery,12,12,9.0
11,20240115095951237,ch.unisg.tapastasks.tasks.application.port.in.DeleteTaskFromTaskListQuery,12,12,9.0
4,20240115091345815,ch.unisg.tapastasks.tasks.application.port.in.RetrieveTaskFromTaskListQuery,12,12,9.0
2,20240115095949123,ch.unisg.tapastasks.tasks.application.port.in.RetrieveTasksByStatusQuery,12,12,9.0
6,20240115090210953,ch.unisg.tapastasks.tasks.application.port.in.TaskAssignedEvent,12,12,12.0
10,20240115090926175,ch.unisg.tapastasks.tasks.application.port.in.TaskExecutedEvent,12,12,15.0
3,20240115091125275,ch.unisg.tapastasks.tasks.application.port.in.TaskStartedEvent,12,12,12.0
6,20240115090720998,ch.unisg.tapastasks.tasks.application.port.out.DelegatedTaskExecutedEvent,12,12,112
12,20240115093058702,ch.unisg.tapastasks.tasks.application.port.out.NewTaskAddedEvent,12,12,12.0
10,20240115094715240,ch.unisg.tapastasks.tasks.application.service.AddNewTaskToTaskListService,5.0,12,39.0
4,20240115092902156,ch.unisg.tapastasks.tasks.application.service.AddNewTaskToTaskListServiceTest,12,12,33.0
11,20240115092038989,ch.unisg.tapastasks.tasks.application.service.CheckStatusOfTaskService,2.0,12,212
9,20240115093952393,ch.unisg.tapastasks.tasks.application.service.DeleteTaskFromTaskListService,12,12,21.0
12,20240115093957647,ch.unisg.tapastasks.tasks.application.service.NoOpTaskListLock,2.0,12,11.0
6,20240115091529004,ch.unisg.tapastasks.tasks.application.service.RetrieveTaskFromTaskListService,2.0,12,212
7,20240115094738656,ch.unisg.tapastasks.tasks.application.service.RetrieveTasksByStatusService,12,12,14.0
5,20240115092900818,ch.unisg.tapastasks.tasks.archunit.Adapters,12,12,45.0
8,20240115092907966,ch.unisg.tapastasks.tasks.archunit.ApplicationLayer,12,12,42.0
14,20240115092539959,ch.unisg.tapastasks.tasks.archunit.ArchitectureElement,12,12,512
9,20240115094354405,ch.unisg.tapastasks.tasks.archunit.HexagonalArchitecture,12,12,44.0
10,20240115095801799,ch.unisg.tapastasks.tasks.DependencyRuleTests,12,12,13.0
7,20240115095053581,ch.unisg.tapastasks.tasks.domain.Task,5.0,1.0,56.0
3,20240115095323704,ch.unisg.tapastasks.tasks.domain.TaskList,112,1.0,77.0
10,20240115090939630,ch.unisg.tapastasks.tasks.domain.TaskNotFoundError,12,12,1.0
9,20240115093148240,ch.unisg.app.AppApplication,2.0,12,17.0
5,20240115094753114,ch.unisg.app.AppApplicationTests,12,12,6.0
6,20240115093317564,ch.unisg.app.HelloController,12,12,7.0
3,20240115095321401,ch.unisg.app.NewExecutorController,1.0,12,67.0
3,20240115094938368,ch.unisg.app.NewTaskController,5.0,12,97.0
8,20240115095231271,ch.unisg.tapas.auctionhouse.adapter.common.clients.TapasMqttClient,37.0,36.0,87.0
14,20240115092652215,ch.unisg.tapas.auctionhouse.adapter.common.formats.AuctionJsonRepresentation,6.0,6.0,67.0
6,20240115091253344,ch.unisg.tapas.auctionhouse.adapter.common.formats.BidJsonRepresentation,12,12,22.0
2,20240115090159880,ch.unisg.tapas.auctionhouse.adapter.common.formats.DelegateTaskJsonRepresentation,12,12,18.0
