eye_fixation_duration,number_of_annotations,timestamp,class_path,participant_number,task_id,number_of_dependencies
750.00,3,20240115090247633,ch.unisg.tapas.auctionhouse.adapter.out.messaging.mqtt.PlaceBidForAuctionMqttAdapter,4.0,3.0,35.0
558.24,14,20240115095344534,ch.unisg.tapas.auctionhouse.adapter.out.messaging.mqtt.PublishAuctionStartedEventMqttAdapter,6.0,3.0,42.0
356.48,11,20240115091422824,ch.unisg.tapas.auctionhouse.adapter.out.messaging.mqtt.SubscribeToAuctionFeedMqttAdapter,3.0,12,24.0
586.45,5,20240115094915398,ch.unisg.tapas.auctionhouse.adapter.out.messaging.websub.PublishAuctionStartedEventWebSubAdapter,112,3.0,43.0
512.36,7,20240115092925211,ch.unisg.tapas.auctionhouse.adapter.out.messaging.websub.SubscribeToAuctionFeedWebSubAdapter,4.0,12,47.0
576.41,2,20240115094757945,ch.unisg.tapas.auctionhouse.adapter.out.web.AuctionHouseDirectoryAdapter,9.0,7.0,38.0
636.63,13,20240115092754191,ch.unisg.tapas.auctionhouse.adapter.out.web.PlaceBidForAuctionHttpAdapter,3.0,3.0,32.0
381.12,7,20240115091411770,ch.unisg.tapas.auctionhouse.application.handler.AuctionStartedHandler,112,112,36.0
712.68,15,20240115095925123,ch.unisg.tapas.auctionhouse.application.handler.ExecutorAddedHandler,12,12,8.0
177.10,9,20240115092226120,ch.unisg.tapas.auctionhouse.application.handler.ExecutorRemovedHandler,4.0,4.0,11.0
100.00,3,20240115093510748,ch.unisg.tapas.auctionhouse.application.port.in.auctions.AuctionStartedEvent,3.0,3.0,12.0
452.44,5,20240115095642211,ch.unisg.tapas.auctionhouse.application.port.in.auctions.LaunchAuctionCommand,112,112,28.0
178.15,12,20240115092417163,ch.unisg.tapas.auctionhouse.application.port.in.auctions.PlaceBidForAuctionEvent,12,12,112
489.37,7,20240115093423609,ch.unisg.tapas.auctionhouse.application.port.in.auctions.RetrieveAuctionQuery,3.0,3.0,12.0
547.17,3,20240115095755693,ch.unisg.tapas.auctionhouse.application.port.in.auctions.RetrieveOpenAuctionsQuery,4.0,4.0,5.0
389.09,5,20240115090840413,ch.unisg.tapas.auctionhouse.application.port.in.executors.ExecutorAddedEvent,8.0,8.0,212
565.33,15,20240115095156248,ch.unisg.tapas.auctionhouse.application.port.in.executors.ExecutorRemovedEvent,8.0,8.0,17.0
438.13,4,20240115090527193,ch.unisg.tapas.auctionhouse.application.port.in.feeds.SubscribeToAuctionFeedCommand,3.0,3.0,12.0
327.55,10,20240115094108482,ch.unisg.tapas.auctionhouse.application.port.in.feeds.SubscribeToAuctionFeedDirectoryCommand,3.0,3.0,12.0
403.63,2,20240115091314983,ch.unisg.tapas.auctionhouse.application.port.out.OutputPortError,12,12,5.0
100.00,14,20240115091911206,ch.unisg.tapas.auctionhouse.application.service.PlaceBidForAuctionService,12,12,16.0
296.08,12,20240115094103028,ch.unisg.tapas.auctionhouse.application.service.RetrieveAuctionService,4.0,4.0,11.0
293.60,14,20240115094058033,ch.unisg.tapas.auctionhouse.application.service.RetrieveOpenAuctionsService,4.0,4.0,11.0
387.63,2,20240115091235633,ch.unisg.tapas.auctionhouse.application.service.StartAuctionService,16.0,11.0,47.0
522.72,14,20240115093025688,ch.unisg.tapas.auctionhouse.application.service.SubscribeToAuctionFeedDirectoryService,12,12,17.0
613.32,10,20240115091928475,ch.unisg.tapas.auctionhouse.application.service.SubscribeToAuctionFeedService,12,12,9.0
380.40,15,20240115090651130,ch.unisg.tapas.auctionhouse.domain.Auction,61.0,38.0,1412
675.86,10,20240115095704472,ch.unisg.tapas.auctionhouse.domain.AuctionNotFoundError,12,12,1.0
450.97,9,20240115092156976,ch.unisg.tapas.auctionhouse.domain.AuctionRegistry,41.0,41.0,84.0
550.07,6,20240115094231812,ch.unisg.tapas.auctionhouse.domain.AuctionStartedEvent,3.0,3.0,112
221.33,13,20240115093304358,ch.unisg.tapas.auctionhouse.domain.AuctionWonEvent,4.0,3.0,14.0
227.70,7,20240115094754693,ch.unisg.tapas.auctionhouse.domain.Bid,22.0,11.0,39.0
376.97,12,20240115095812436,ch.unisg.tapas.auctionhouse.domain.ExecutorRegistry,26.0,26.0,64.0
368.60,15,20240115092632237,ch.unisg.tapas.common.ConfigProperties,42.0,42.0,68.0
377.40,2,20240115091123208,ch.unisg.tapas.common.SelfValidating,4.0,4.0,17.0
429.76,13,20240115093946877,ch.unisg.tapas.TapasAuctionHouseApplication,3.0,3.0,9.0
480.91,8,20240115095309598,ch.unisg.tapas.TapasAuctionHouseApplicationTests,12,12,6.0
670.29,5,20240115093728220,ch.unisg.tapasexecutorcalculator.executorcalculator.adapter.in.formats.AssignedTaskToExecutorJsonRepresentation,12,12,16.0
427.77,6,20240115090849031,ch.unisg.tapasexecutorcalculator.executorcalculator.adapter.in.formats.ExecutorJsonRepresentation,12,12,14.0
646.91,6,20240115095601418,ch.unisg.tapasexecutorcalculator.executorcalculator.adapter.in.web.ReceiveAssignedTaskToExecutorWebController,1.0,12,36.0
501.88,15,20240115090356832,ch.unisg.tapasexecutorcalculator.executorcalculator.adapter.in.web.ReceiveAssignedTaskToExecutorWebControllerTest,5.0,12,412
641.00,9,20240115093730120,ch.unisg.tapasexecutorcalculator.executorcalculator.adapter.in.web.ReceiveExecutorFromExecutorPoolWebController,12,12,23.0
379.97,4,20240115092923619,ch.unisg.tapasexecutorcalculator.executorcalculator.adapter.out.formats.TaskEventJsonRepresentation,12,12,112
387.13,12,20240115091725323,ch.unisg.tapasexecutorcalculator.executorcalculator.adapter.out.web.PublishNewExecutorAvailableEventWebAdapter,12,12,31.0
427.91,2,20240115095455051,ch.unisg.tapasexecutorcalculator.executorcalculator.adapter.out.web.PublishTaskUpdatedEventWebAdapter,12,12,37.0
173.44,8,20240115094938294,ch.unisg.tapasexecutorcalculator.executorcalculator.application.port.in.AddExecutorToExecutorListCommand,12,12,17.0
424.85,9,20240115091658639,ch.unisg.tapasexecutorcalculator.executorcalculator.application.port.in.AssignedTaskToExecutorCommand,12,12,15.0
430.05,6,20240115094021877,ch.unisg.tapasexecutorcalculator.executorcalculator.application.port.out.NewExecutorAvailableEvent,12,12,8.0
617.79,9,20240115090706798,ch.unisg.tapasexecutorcalculator.executorcalculator.application.port.out.TaskUpdatedEvent,12,12,6.0
306.75,15,20240115095432466,ch.unisg.tapasexecutorcalculator.executorcalculator.application.service.AddExecutorToExecutorListService,12,12,212
689.49,8,20240115093348198,ch.unisg.tapasexecutorcalculator.executorcalculator.application.service.AssignedTaskToExecutorService,112,12,42.0
737.77,11,20240115092113737,ch.unisg.tapasexecutorcalculator.executorcalculator.domain.Executor,1.0,12,42.0
284.34,11,20240115090722312,ch.unisg.tapasexecutorcalculator.executorcalculator.domain.ExecutorList,12,12,24.0
172.91,9,20240115092121323,ch.unisg.tapasexecutorcalculator.executorcalculator.domain.Task,12,12,32.0
302.30,12,20240115090418757,ch.unisg.tapasexecutorcalculator.TapasExecutorCalculatorApplication,12,12,6.0
493.27,4,20240115094635327,ch.unisg.tapasexecutorcalculator.TapasExecutorPrinterApplicationTests,12,12,6.0
508.68,15,20240115095839755,ch.unisg.tapasexecutorpool.executorpool.adapter.in.formats.ExecutorJsonRepresentation,1.0,12,312
142.39,11,20240115090435483,ch.unisg.tapasexecutorpool.executorpool.adapter.in.formats.ExecutorTypeJsonRepresentation,1.0,12,9.0
637.68,7,20240115092729350,ch.unisg.tapasexecutorpool.executorpool.adapter.in.formats.RetrieveExecutorByTypeJsonRepresentation,12,12,26.0
484.68,11,20240115093940388,ch.unisg.tapasexecutorpool.executorpool.adapter.in.web.AddNewExecutorToExecutorPoolWebController,1.0,12,32.0
660.84,11,20240115093943401,ch.unisg.tapasexecutorpool.executorpool.adapter.in.web.AddNewExecutorToExecutorPoolWebControllerTest,4.0,12,36.0
338.81,10,20240115093527638,ch.unisg.tapasexecutorpool.executorpool.adapter.in.web.DeleteExecutorFromExecutorPoolWebController,2.0,12,23.0
446.42,8,20240115092931888,ch.unisg.tapasexecutorpool.executorpool.adapter.in.web.RetrieveExecutorById,12,12,19.0
137.03,3,20240115090635033,ch.unisg.tapasexecutorpool.executorpool.adapter.in.web.RetrieveExecutorByTypeWebController,1.0,12,28.0
393.83,15,20240115092012934,ch.unisg.tapasexecutorpool.executorpool.adapter.out.persistence.mongodb.ExecutorMapper,12,12,18.0
503.92,3,20240115090958323,ch.unisg.tapasexecutorpool.executorpool.adapter.out.persistence.mongodb.ExecutorPersistenceAdapter,2.0,12,47.0
101.67,2,20240115092243918,ch.unisg.tapasexecutorpool.executorpool.adapter.out.persistence.mongodb.ExecutorPersistenceAdapterTest,2.0,12,47.0
448.01,9,20240115090303579,ch.unisg.tapasexecutorpool.executorpool.adapter.out.persistence.mongodb.MongoExecutorDocument,12,12,19.0
499.00,4,20240115094945054,ch.unisg.tapasexecutorpool.executorpool.adapter.out.web.PublishExecutorDeletedWebAdapter,2.0,12,412
681.37,9,20240115092816557,ch.unisg.tapasexecutorpool.executorpool.AddNewExecutorToExecutorPoolSystemTest,1.0,12,39.0
293.75,14,20240115093843439,ch.unisg.tapasexecutorpool.executorpool.application.port.in.AddNewExecutorToExecutorPoolCommand,12,12,17.0
524.32,4,20240115092549106,ch.unisg.tapasexecutorpool.executorpool.application.port.in.DeleteExecutorFromExecutorPoolQuery,12,12,8.0
750.00,8,20240115090618263,ch.unisg.tapasexecutorpool.executorpool.application.port.in.RetrieveExecutorByIdQuery,12,12,7.0
143.13,2,20240115092730881,ch.unisg.tapasexecutorpool.executorpool.application.port.in.RetrieveExecutorByTypeQuery,12,12,8.0
143.66,6,20240115090956467,ch.unisg.tapasexecutorpool.executorpool.application.service.AddNewExecutorToExecutorPoolService,12,12,33.0
474.49,15,20240115094523627,ch.unisg.tapasexecutorpool.executorpool.application.service.DeleteExecutorFromExecutorPoolService,12,12,23.0
401.36,12,20240115095851831,ch.unisg.tapasexecutorpool.executorpool.application.service.RetrieveExecutorByIdService,12,12,22.0
452.54,7,20240115094428456,ch.unisg.tapasexecutorpool.executorpool.application.service.RetrieveExecutorByTypeService,12,12,15.0
636.59,6,20240115093720648,ch.unisg.tapasexecutorpool.executorpool.application.service.RetrieveExecutorByTypeServiceTest,4.0,12,41.0
511.55,8,20240115090855839,ch.unisg.tapasexecutorpool.executorpool.DependencyRuleTest,12,12,24.0
392.15,7,20240115094815703,ch.unisg.tapasexecutorpool.executorpool.domain.Executor,12,12,58.0
432.63,13,20240115094326876,ch.unisg.tapasexecutorpool.executorpool.domain.ExecutorNotFoundError,12,12,1.0
413.09,6,20240115095045324,ch.unisg.tapasexecutorpool.executorpool.domain.ExecutorPool,12,12,54.0
188.95,13,20240115093829187,ch.unisg.tapasexecutorpool.executorpool.domain.ExecutorTest,9.0,12,29.0
237.50,3,20240115091435047,ch.unisg.tapasexecutorpool.TapasExecutorPoolApplication,12,12,7.0
750.00,7,20240115094205668,ch.unisg.tapasexecutorpool.TapasExecutorPoolApplicationTests,12,12,6.0
385.45,13,20240115095634062,ch.unisg.tapasexecutorprinter.executorcalculator.adapter.in.web.ReceiveAssignedTaskToExecutorWebControllerTest,5.0,12,412
552.20,2,20240115094236940,ch.unisg.tapasexecutorprinter.executorprinter.adapter.in.formats.AssignedTaskToExecutorJsonRepresentation,12,12,16.0
446.81,10,20240115095033830,ch.unisg.tapasexecutorprinter.executorprinter.adapter.in.formats.ExecutorJsonRepresentation,12,12,14.0
750.00,2,20240115095641808,ch.unisg.tapasexecutorprinter.executorprinter.adapter.in.web.ReceiveAssignedTaskToExecutorWebController,1.0,12,36.0
222.17,5,20240115092550222,ch.unisg.tapasexecutorprinter.executorprinter.adapter.in.web.ReceiveExecutorFromExecutorPoolWebController,12,12,23.0
119.50,9,20240115095402358,ch.unisg.tapasexecutorprinter.executorprinter.adapter.out.formats.TaskEventJsonRepresentation,12,12,112
518.79,9,20240115091706997,ch.unisg.tapasexecutorprinter.executorprinter.adapter.out.web.PublishNewExecutorAvailableEventWebAdapter,12,12,31.0
456.02,8,20240115094246968,ch.unisg.tapasexecutorprinter.executorprinter.adapter.out.web.PublishTaskUpdatedEventWebAdapter,12,12,37.0
541.41,9,20240115090436626,ch.unisg.tapasexecutorprinter.executorprinter.application.port.in.AddExecutorToExecutorListCommand,12,12,17.0
455.41,14,20240115091410538,ch.unisg.tapasexecutorprinter.executorprinter.application.port.in.AssignedTaskToExecutorCommand,12,12,15.0
188.80,11,20240115095101645,ch.unisg.tapasexecutorprinter.executorprinter.application.port.out.NewExecutorAvailableEvent,12,12,8.0
504.56,11,20240115095712399,ch.unisg.tapasexecutorprinter.executorprinter.application.port.out.TaskUpdatedEvent,12,12,6.0
515.90,8,20240115091356340,ch.unisg.tapasexecutorprinter.executorprinter.application.service.AddExecutorToExecutorListService,12,12,212
535.90,12,20240115090021539,ch.unisg.tapasexecutorprinter.executorprinter.application.service.AssignedTaskToExecutorService,112,12,42.0
581.82,9,20240115091302442,ch.unisg.tapasexecutorprinter.executorprinter.domain.Executor,1.0,12,38.0
695.95,3,20240115095335728,ch.unisg.tapasexecutorprinter.executorprinter.domain.ExecutorList,12,12,24.0
736.17,9,20240115091556573,ch.unisg.tapasexecutorprinter.executorprinter.domain.Task,12,12,32.0
247.26,6,20240115090813696,ch.unisg.tapasexecutorprinter.TapasExecutorPrinterApplication,12,12,6.0
428.25,2,20240115091054723,ch.unisg.tapasexecutorprinter.TapasExecutorPrinterApplicationTests,12,12,6.0
306.03,8,20240115095027440,ch.unisg.tapasexecutorweatherman.executorcalculator.adapter.in.web.ReceiveAssignedTaskToExecutorWebControllerTest,5.0,12,412
457.22,11,20240115091126014,ch.unisg.tapasexecutorweatherman.executorweatherman.adapter.in.formats.AssignedTaskToExecutorJsonRepresentation,12,12,16.0
652.83,2,20240115091031886,ch.unisg.tapasexecutorweatherman.executorweatherman.adapter.in.web.ReceiveAssignedTaskToExecutorWebController,1.0,12,36.0
471.71,5,20240115090943319,ch.unisg.tapasexecutorweatherman.executorweatherman.adapter.out.formats.TaskEventJsonRepresentation,12,12,112
450.00,13,20240115092449183,ch.unisg.tapasexecutorweatherman.executorweatherman.adapter.out.web.PublishTaskUpdatedEventWebAdapter,12,12,37.0
585.65,5,20240115093340282,ch.unisg.tapasexecutorweatherman.executorweatherman.application.port.in.AssignedTaskToExecutorCommand,12,12,15.0
185.18,13,20240115095551528,ch.unisg.tapasexecutorweatherman.executorweatherman.application.port.out.TaskUpdatedEvent,12,12,6.0
490.24,3,20240115092556793,ch.unisg.tapasexecutorweatherman.executorweatherman.application.service.AssignedTaskToExecutorService,6.0,12,38.0
315.45,3,20240115091509274,ch.unisg.tapasexecutorweatherman.executorweatherman.domain.Executor,8.0,12,612
316.31,5,20240115094238971,ch.unisg.tapasexecutorweatherman.executorweatherman.domain.Task,12,12,32.0
517.89,7,20240115093800449,ch.unisg.tapasexecutorweatherman.TapasExecutorPrinterApplicationTests,12,12,6.0
535.73,4,20240115093911848,ch.unisg.tapasexecutorweatherman.TapasExecutorWeathermanApplication,12,12,6.0
403.69,4,20240115092310052,ch.unisg.tapasroster.common.SelfValidating,4.0,4.0,17.0
333.01,4,20240115092831207,ch.unisg.tapasroster.roster.adapter.in.formats.AssignmentsJsonRepresentation,7.0,12,45.0
516.45,15,20240115094145790,ch.unisg.tapasroster.roster.adapter.in.formats.ExecutorJsonRepresentation,12,12,212
245.11,12,20240115091651346,ch.unisg.tapasroster.roster.adapter.in.formats.TaskEventJsonRepresentation,12,12,112
524.50,10,20240115094415716,ch.unisg.tapasroster.roster.adapter.in.formats.TaskJsonRepresentation,12,12,23.0
665.13,8,20240115093832925,ch.unisg.tapasroster.roster.adapter.in.messaging.http.TaskEventDispatcher,12,12,26.0
544.12,10,20240115091049286,ch.unisg.tapasroster.roster.adapter.in.web.ReceiveAvailableExecutorWebController,1.0,12,32.0
330.33,5,20240115094739093,ch.unisg.tapasroster.roster.adapter.in.web.ReceiveTaskFromTastListWebController,1.0,12,34.0
746.75,14,20240115092724092,ch.unisg.tapasroster.roster.adapter.in.web.RetrieveAllAssignmentsWebController,12,12,19.0
431.04,14,20240115090441184,ch.unisg.tapasroster.roster.adapter.out.formats.AuctionJsonRepresentation,12,12,22.0
253.55,8,20240115092657290,ch.unisg.tapasroster.roster.adapter.out.formats.ExecutorJsonRepresentation,12,12,18.0
560.51,6,20240115094800913,ch.unisg.tapasroster.roster.adapter.out.formats.FindExecutorByTypeRequestJsonRepresentation,1.0,12,9.0
265.62,11,20240115094034131,ch.unisg.tapasroster.roster.adapter.out.persistence.mongodb.AssignmentMapper,12,12,37.0
578.81,9,20240115095303549,ch.unisg.tapasroster.roster.adapter.out.persistence.mongodb.AssignmentPersistenceAdapter,12,12,31.0
163.23,10,20240115091125141,ch.unisg.tapasroster.roster.adapter.out.persistence.mongodb.MongoAssignmentDocument,12,12,38.0
478.38,15,20240115093410042,ch.unisg.tapasroster.roster.adapter.out.web.FindExecutorByTypeWebAdapter,16.0,12,61.0
333.96,7,20240115091432246,ch.unisg.tapasroster.roster.adapter.out.web.LaunchAuctionWebAdapter,12,12,37.0
100.00,11,20240115092925988,ch.unisg.tapasroster.roster.adapter.out.web.PublishTaskAssignedToExecutorEventWebAdapter,12,12,31.0
476.74,11,20240115094202682,ch.unisg.tapasroster.roster.adapter.out.web.PublishTaskUpdatedEventWebAdapter,12,12,38.0
667.42,5,20240115090758782,ch.unisg.tapasroster.roster.application.port.in.AddExecutorToAvailableExecutorsCommand,12,12,17.0
161.52,6,20240115090155136,ch.unisg.tapasroster.roster.application.port.in.AddTaskToAssignmentsCommand,12,12,8.0
351.64,6,20240115091534390,ch.unisg.tapasroster.roster.application.port.in.AssignTaskToExecutorCommand,12,12,8.0
554.43,8,20240115094847125,ch.unisg.tapasroster.roster.application.port.in.TaskEvent,12,12,9.0
481.45,13,20240115095203320,ch.unisg.tapasroster.roster.application.port.out.TaskAssignedToExecutorEvent,12,12,19.0
100.00,2,20240115093257898,ch.unisg.tapasroster.roster.application.port.out.TaskUpdatedEvent,12,12,12.0
308.43,3,20240115091744073,ch.unisg.tapasroster.roster.application.service.AddExecutorToAvailableExecutorsService,12,12,16.0
732.64,13,20240115094542162,ch.unisg.tapasroster.roster.application.service.AddTaskToAssignmentsService,12,12,24.0
434.19,4,20240115091900641,ch.unisg.tapasroster.roster.application.service.AssignTaskToExecutorService,5.0,12,37.0
197.66,15,20240115091117335,ch.unisg.tapasroster.roster.application.service.GetAllAssignmentsService,12,12,12.0
217.73,6,20240115095943282,ch.unisg.tapasroster.roster.application.service.TaskEventHandlerService,2.0,12,44.0
750.00,7,20240115095008002,ch.unisg.tapasroster.roster.AssignTaskToExecutorSystemTest,1.0,12,44.0
453.21,7,20240115092807401,ch.unisg.tapasroster.roster.DependencyRuleTest,12,12,23.0
453.97,3,20240115091053095,ch.unisg.tapasroster.roster.domain.Assignment,2.0,12,79.0
557.89,7,20240115091046883,ch.unisg.tapasroster.roster.domain.AssignmentList,12,12,28.0
448.50,8,20240115090026423,ch.unisg.tapasroster.roster.domain.AssignmentNotFoundError,12,12,2.0
538.63,5,20240115093118881,ch.unisg.tapasroster.roster.domain.Executor,12,12,24.0
443.60,8,20240115090810605,ch.unisg.tapasroster.roster.domain.ExecutorList,12,12,25.0
484.56,14,20240115091730576,ch.unisg.tapasroster.roster.domain.Task,12,12,24.0
439.38,8,20240115090253293,ch.unisg.tapasroster.TapasRosterApplication,12,12,6.0
120.84,11,20240115090348962,ch.unisg.tapasroster.TapasRosterApplicationTests,12,12,6.0
424.17,8,20240115093227500,ch.unisg.tapastasks.common.SelfValidating,4.0,4.0,17.0
229.22,11,20240115093345699,ch.unisg.tapastasks.TapasTasksApplication,12,12,8.0
265.27,6,20240115093525830,ch.unisg.tapastasks.TapasTasksApplicationTests,12,12,6.0
333.72,14,20240115095346472,ch.unisg.tapastasks.tasks.adapter.in.formats.StatusJsonRepresentation,13.0,11.0,31.0
501.35,2,20240115091934752,ch.unisg.tapastasks.tasks.adapter.in.formats.TaskJsonPatchRepresentation,28.0,28.0,78.0
679.43,7,20240115091425802,ch.unisg.tapastasks.tasks.adapter.in.formats.TaskJsonRepresentation,53.0,33.0,117.0
243.76,9,20240115093645485,ch.unisg.tapastasks.tasks.adapter.in.messaging.http.TaskAssignedEventListenerHttpAdapter,15.0,15.0,26.0
510.30,11,20240115093709025,ch.unisg.tapastasks.tasks.adapter.in.messaging.http.TaskEventHttpDispatcher,34.0,26.0,74.0
253.59,9,20240115090555878,ch.unisg.tapastasks.tasks.adapter.in.messaging.http.TaskEventListener,13.0,13.0,16.0
418.52,10,20240115095515355,ch.unisg.tapastasks.tasks.adapter.in.messaging.http.TaskExecutedEventListenerHttpAdapter,14.0,14.0,27.0
377.88,4,20240115095828611,ch.unisg.tapastasks.tasks.adapter.in.messaging.http.TaskStartedEventListenerHttpAdapter,13.0,13.0,24.0
201.27,7,20240115092852797,ch.unisg.tapastasks.tasks.adapter.in.messaging.UnknownEventException,12,12,1.0
343.62,9,20240115092856258,ch.unisg.tapastasks.tasks.adapter.in.web.AddNewTaskToTaskListWebController,19.0,9.0,46.0
299.35,12,20240115093042993,ch.unisg.tapastasks.tasks.adapter.in.web.AddNewTaskToTaskListWebControllerTest,12,12,35.0
189.69,8,20240115091518786,ch.unisg.tapastasks.tasks.adapter.in.web.CheckStatusOfTaskWebController,15.0,14.0,37.0
252.14,2,20240115095211780,ch.unisg.tapastasks.tasks.adapter.in.web.DeleteTaskFromTaskListWebController,2.0,12,23.0
513.85,14,20240115095338013,ch.unisg.tapastasks.tasks.adapter.in.web.RetrieveTaskFromTaskListWebController,15.0,14.0,35.0
313.36,7,20240115090613502,ch.unisg.tapastasks.tasks.adapter.in.web.RetrieveTasksByStatusWebController,5.0,5.0,25.0
417.64,3,20240115093653829,ch.unisg.tapastasks.tasks.adapter.out.persistence.mongodb.MongoTaskDocument,12,12,26.0
305.18,8,20240115093038133,ch.unisg.tapastasks.tasks.adapter.out.persistence.mongodb.TaskMapper,12,12,412
456.36,11,20240115092412738,ch.unisg.tapastasks.tasks.adapter.out.persistence.mongodb.TaskPersistenceAdapter,2.0,12,54.0
557.89,7,20240115093018278,ch.unisg.tapastasks.tasks.adapter.out.persistence.mongodb.TaskPersistenceAdapterTest,12,12,612
506.46,5,20240115095922229,ch.unisg.tapastasks.tasks.adapter.out.web.PublishDelegatedTaskExecutedEventWebAdapter,12,12,26.0
646.87,11,20240115093548046,ch.unisg.tapastasks.tasks.adapter.out.web.PublishNewTaskAddedEventWebAdapter,4.0,12,35.0
359.41,13,20240115095700075,ch.unisg.tapastasks.tasks.AddNewTaskToTaskListSystemTest,12,12,39.0
595.91,5,20240115094720616,ch.unisg.tapastasks.tasks.application.handler.TaskAssignedHandler,12,12,16.0
569.74,7,20240115092338706,ch.unisg.tapastasks.tasks.application.handler.TaskExecutedHandler,1.0,12,26.0
157.16,15,20240115090134077,ch.unisg.tapastasks.tasks.application.handler.TaskStartedHandler,12,12,16.0
630.35,13,20240115091714202,ch.unisg.tapastasks.tasks.application.port.in.AddNewTaskToTaskListCommand,12,12,19.0
502.03,10,20240115091922193,ch.unisg.tapastasks.tasks.application.port.in.CheckStatusOfTaskQuery,12,12,9.0
334.06,11,20240115095951237,ch.unisg.tapastasks.tasks.application.port.in.DeleteTaskFromTaskListQuery,12,12,9.0
211.48,4,20240115091345815,ch.unisg.tapastasks.tasks.application.port.in.RetrieveTaskFromTaskListQuery,12,12,9.0
478.08,2,20240115095949123,ch.unisg.tapastasks.tasks.application.port.in.RetrieveTasksByStatusQuery,12,12,9.0
286.31,6,20240115090210953,ch.unisg.tapastasks.tasks.application.port.in.TaskAssignedEvent,12,12,12.0
524.96,10,20240115090926175,ch.unisg.tapastasks.tasks.application.port.in.TaskExecutedEvent,12,12,15.0
607.34,3,20240115091125275,ch.unisg.tapastasks.tasks.application.port.in.TaskStartedEvent,12,12,12.0
286.25,6,20240115090720998,ch.unisg.tapastasks.tasks.application.port.out.DelegatedTaskExecutedEvent,12,12,112
564.39,12,20240115093058702,ch.unisg.tapastasks.tasks.application.port.out.NewTaskAddedEvent,12,12,12.0
556.13,10,20240115094715240,ch.unisg.tapastasks.tasks.application.service.AddNewTaskToTaskListService,5.0,12,39.0
315.52,4,20240115092902156,ch.unisg.tapastasks.tasks.application.service.AddNewTaskToTaskListServiceTest,12,12,33.0
548.69,11,20240115092038989,ch.unisg.tapastasks.tasks.application.service.CheckStatusOfTaskService,2.0,12,212
350.51,9,20240115093952393,ch.unisg.tapastasks.tasks.application.service.DeleteTaskFromTaskListService,12,12,21.0
