participant,Fixation Start,Fixation End,Fixation Duration,tabName_element,Timestamp,tabName,element,TaskId
2,2418212.217,2419095.441,883.224,model-g3.bpmn;next-button-area-in-questionID_9,2418832.957,model-g3.bpmn,next-button-area-in-questionID_9,5.0
2,,,,model-g3.bpmn;title-for-questionID_9,2424115.774,model-g3.bpmn,title-for-questionID_9,5.0
2,2424119.917,2424286.55,166.633,model-g3.bpmn;title-for-questionID_9,2424124.06,model-g3.bpmn,title-for-questionID_9,5.0
2,,,,model-g3.bpmn;title-for-questionID_9,2424290.7,model-g3.bpmn,title-for-questionID_9,5.0
2,2424303.2235,2424619.84,316.6165,model-g3.bpmn;title-for-questionID_9,2424315.791,model-g3.bpmn,title-for-questionID_9,5.0
2,,,,model-g3.bpmn;nan,2424624.013,model-g3.bpmn,,5.0
2,2424669.8345,2424944.8055,274.971,model-g3.bpmn;nan,2424674.007,model-g3.bpmn,,5.0
2,,,,model-g3.bpmn;nan,2424948.978,model-g3.bpmn,,5.0
2,,,,model-g3.bpmn;nan,2424982.305,model-g3.bpmn,,5.0
2,2424994.8075,2425203.119,208.3115,model-g3.bpmn;nan,2424998.958,model-g3.bpmn,,5.0
2,,,,model-g3.bpmn;Activity_09ohgt5,2425207.302,model-g3.bpmn,Activity_09ohgt5,5.0
2,2425261.4445,2425336.4705,75.026,model-g3.bpmn;Process_1vj4efq,2425265.627,model-g3.bpmn,Process_1vj4efq,5.0
2,,,,model-g3.bpmn;Activity_09ohgt5,2425340.62,model-g3.bpmn,Activity_09ohgt5,5.0
2,,,,model-g3.bpmn;Process_1vj4efq,2425407.287,model-g3.bpmn,Process_1vj4efq,5.0
2,2425453.0995,2425628.093,174.9935,model-g3.bpmn;Activity_17gtz4l,2425457.273,model-g3.bpmn,Activity_17gtz4l,5.0
2,,,,model-g3.bpmn;Activity_09ohgt5,2425632.261,model-g3.bpmn,Activity_09ohgt5,5.0
2,2425669.743,2425836.425,166.682,model-g3.bpmn;Activity_09ohgt5,2425673.919,model-g3.bpmn,Activity_09ohgt5,5.0
2,,,,model-g3.bpmn;Activity_1ej1zwa,2425840.587,model-g3.bpmn,Activity_1ej1zwa,5.0
2,2425878.1035,2426011.3795,133.276,model-g3.bpmn;Activity_1ej1zwa,2425882.229,model-g3.bpmn,Activity_1ej1zwa,5.0
2,,,,model-g3.bpmn;Activity_1s6i798,2426015.547,model-g3.bpmn,Activity_1s6i798,5.0
2,2426069.689,2426178.017,108.328,model-g3.bpmn;Activity_1s6i798,2426082.234,model-g3.bpmn,Activity_1s6i798,5.0
2,,,,model-g3.bpmn;Activity_1s6i798,2426182.203,model-g3.bpmn,Activity_1s6i798,5.0
2,2426203.037,2426286.368,83.331,model-g3.bpmn;Activity_1s6i798,2426207.193,model-g3.bpmn,Activity_1s6i798,5.0
2,,,,model-g3.bpmn;Process_1vj4efq,2426290.523,model-g3.bpmn,Process_1vj4efq,5.0
2,2426344.6675,2426544.6375,199.97,model-g3.bpmn;Process_1vj4efq,2426357.165,model-g3.bpmn,Process_1vj4efq,5.0
2,,,,model-g3.bpmn;Process_1vj4efq,2426548.79,model-g3.bpmn,Process_1vj4efq,5.0
2,2426561.304,2426711.285,149.981,model-g3.bpmn;Activity_1ru2k09,2426565.483,model-g3.bpmn,Activity_1ru2k09,5.0
2,,,,model-g3.bpmn;Activity_1ru2k09,2426715.444,model-g3.bpmn,Activity_1ru2k09,5.0
2,,,,model-g3.bpmn;Activity_1ru2k09,2426732.159,model-g3.bpmn,Activity_1ru2k09,5.0
2,,,,model-g3.bpmn;Activity_0blwcvj,2426798.796,model-g3.bpmn,Activity_0blwcvj,5.0
2,2426802.9765,2427002.956,199.9795,model-g3.bpmn;Activity_0blwcvj,2426807.157,model-g3.bpmn,Activity_0blwcvj,5.0
2,,,,model-g3.bpmn;Activity_07i7xot,2427007.136,model-g3.bpmn,Activity_07i7xot,5.0
2,2427052.9165,2427161.238,108.3215,model-g3.bpmn;Activity_07i7xot,2427057.089,model-g3.bpmn,Activity_07i7xot,5.0
2,,,,model-g3.bpmn;Activity_07i7xot,2427165.401,model-g3.bpmn,Activity_07i7xot,5.0
2,,,,model-g3.bpmn;Activity_07i7xot,2427198.722,model-g3.bpmn,Activity_07i7xot,5.0
2,2427252.935,2427469.5585,216.6235,model-g3.bpmn;Activity_0blwcvj,2427257.067,model-g3.bpmn,Activity_0blwcvj,5.0
2,,,,model-g3.bpmn;Activity_0blwcvj,2427473.719,model-g3.bpmn,Activity_0blwcvj,5.0
2,2427502.903,2427677.865,174.962,model-g3.bpmn;Flow_0xkc36h,2427507.089,model-g3.bpmn,Flow_0xkc36h,5.0
2,,,,model-g3.bpmn;Flow_0xkc36h,2427682.03,model-g3.bpmn,Flow_0xkc36h,5.0
2,2427711.1815,2427852.8185,141.637,model-g3.bpmn;Gateway_00v61zr,2427715.331,model-g3.bpmn,Gateway_00v61zr,5.0
2,,,,model-g3.bpmn;Activity_0blwcvj,2427856.986,model-g3.bpmn,Activity_0blwcvj,5.0
2,2427894.4775,2428011.1455,116.668,model-g3.bpmn;Activity_0blwcvj,2427898.644,model-g3.bpmn,Activity_0blwcvj,5.0
2,,,,model-g3.bpmn;Activity_0blwcvj,2428015.32,model-g3.bpmn,Activity_0blwcvj,5.0
2,,,,model-g3.bpmn;Activity_0blwcvj,2428081.998,model-g3.bpmn,Activity_0blwcvj,5.0
2,2428119.4845,2428736.056,616.5715,model-g3.bpmn;Gateway_0o2dbwg,2428131.995,model-g3.bpmn,Gateway_0o2dbwg,5.0
2,,,,model-g3.bpmn;Gateway_0o2dbwg,2428740.22,model-g3.bpmn,Gateway_0o2dbwg,5.0
2,,,,model-g3.bpmn;Flow_10ssiua,2428806.913,model-g3.bpmn,Flow_10ssiua,5.0
2,,,,model-g3.bpmn;Process_1vj4efq,2428881.882,model-g3.bpmn,Process_1vj4efq,5.0
2,,,,model-g3.bpmn;Process_1vj4efq,2428940.226,model-g3.bpmn,Process_1vj4efq,5.0
2,2428969.3605,2429044.368,75.0075,model-g3.bpmn;Activity_0blwcvj,2428973.527,model-g3.bpmn,Activity_0blwcvj,5.0
2,,,,model-g3.bpmn;Activity_0blwcvj,2429048.55,model-g3.bpmn,Activity_0blwcvj,5.0
2,2429061.0425,2429144.3425,83.3,model-g3.bpmn;Activity_0blwcvj,2429065.184,model-g3.bpmn,Activity_0blwcvj,5.0
2,,,,model-g3.bpmn;Process_1vj4efq,2429148.509,model-g3.bpmn,Process_1vj4efq,5.0
2,2429194.3505,2429394.3315,199.981,model-g3.bpmn;Activity_1ru2k09,2429198.503,model-g3.bpmn,Activity_1ru2k09,5.0
2,,,,model-g3.bpmn;Process_1vj4efq,2429398.512,model-g3.bpmn,Process_1vj4efq,5.0
2,,,,model-g3.bpmn;Activity_0blwcvj,2429431.842,model-g3.bpmn,Activity_0blwcvj,5.0
2,2429469.353,2429536.0125,66.6595,model-g3.bpmn;Activity_0blwcvj,2429473.55,model-g3.bpmn,Activity_0blwcvj,5.0
2,,,,model-g3.bpmn;Activity_0blwcvj,2429540.191,model-g3.bpmn,Activity_0blwcvj,5.0
2,2429602.642,2429769.3075,166.6655,model-g3.bpmn;Activity_1s6i798,2429606.796,model-g3.bpmn,Activity_1s6i798,5.0
2,,,,model-g3.bpmn;Activity_1s6i798,2429773.471,model-g3.bpmn,Activity_1s6i798,5.0
2,2429819.295,2429960.9405,141.6455,model-g3.bpmn;Gateway_1gtaesr,2429823.485,model-g3.bpmn,Gateway_1gtaesr,5.0
2,,,,model-g3.bpmn;Process_1vj4efq,2429965.089,model-g3.bpmn,Process_1vj4efq,5.0
2,2430019.278,2430169.246,149.968,model-g3.bpmn;Gateway_0n5yto4,2430023.444,model-g3.bpmn,Gateway_0n5yto4,5.0
2,,,,model-g3.bpmn;Activity_1ej1zwa,2430173.399,model-g3.bpmn,Activity_1ej1zwa,5.0
2,,,,model-g3.bpmn;Activity_1ej1zwa,2430231.725,model-g3.bpmn,Activity_1ej1zwa,5.0
2,2430235.8915,2430369.2215,133.33,model-g3.bpmn;Activity_1ej1zwa,2430240.058,model-g3.bpmn,Activity_1ej1zwa,5.0
2,,,,model-g3.bpmn;Process_1vj4efq,2430373.383,model-g3.bpmn,Process_1vj4efq,5.0
2,,,,model-g3.bpmn;Process_1vj4efq,2430440.097,model-g3.bpmn,Process_1vj4efq,5.0
2,,,,model-g3.bpmn;Activity_09ohgt5,2430465.062,model-g3.bpmn,Activity_09ohgt5,5.0
2,2430477.575,2430610.881,133.306,model-g3.bpmn;Activity_09ohgt5,2430481.756,model-g3.bpmn,Activity_09ohgt5,5.0
2,,,,model-g3.bpmn;Process_1vj4efq,2430615.048,model-g3.bpmn,Process_1vj4efq,5.0
2,2430652.5125,2430777.5005,124.988,model-g3.bpmn;Activity_17gtz4l,2430656.679,model-g3.bpmn,Activity_17gtz4l,5.0
2,,,,model-g3.bpmn;Activity_17gtz4l,2430781.667,model-g3.bpmn,Activity_17gtz4l,5.0
2,,,,model-g3.bpmn;Process_1vj4efq,2430798.33,model-g3.bpmn,Process_1vj4efq,5.0
2,,,,model-g3.bpmn;Activity_07i7xot,2430931.651,model-g3.bpmn,Activity_07i7xot,5.0
2,2430944.163,2431010.808,66.645,model-g3.bpmn;Activity_07i7xot,2430948.344,model-g3.bpmn,Activity_07i7xot,5.0
2,,,,model-g3.bpmn;Activity_07i7xot,2431014.975,model-g3.bpmn,Activity_07i7xot,5.0
2,,,,model-g3.bpmn;Activity_07i7xot,2431073.3,model-g3.bpmn,Activity_07i7xot,5.0
2,2431085.8285,2431269.137,183.3085,model-g3.bpmn;Activity_07i7xot,2431089.997,model-g3.bpmn,Activity_07i7xot,5.0
2,,,,model-g3.bpmn;Activity_0blwcvj,2431273.303,model-g3.bpmn,Activity_0blwcvj,5.0
2,,,,model-g3.bpmn;Activity_0blwcvj,2431364.936,model-g3.bpmn,Activity_0blwcvj,5.0
2,,,,model-g3.bpmn;Activity_0blwcvj,2431423.262,model-g3.bpmn,Activity_0blwcvj,5.0
2,2431435.7765,2431919.061,483.2845,model-g3.bpmn;Activity_0blwcvj,2431439.957,model-g3.bpmn,Activity_0blwcvj,5.0
2,,,,model-g3.bpmn;Activity_0blwcvj,2431923.209,model-g3.bpmn,Activity_0blwcvj,5.0
2,,,,model-g3.bpmn;Process_1vj4efq,2431948.236,model-g3.bpmn,Process_1vj4efq,5.0
2,,,,model-g3.bpmn;Activity_1ru2k09,2432031.532,model-g3.bpmn,Activity_1ru2k09,5.0
2,,,,model-g3.bpmn;Activity_1ru2k09,2432064.89,model-g3.bpmn,Activity_1ru2k09,5.0
2,,,,model-g3.bpmn;Activity_1ru2k09,2432089.898,model-g3.bpmn,Activity_1ru2k09,5.0
2,,,,model-g3.bpmn;Activity_1ru2k09,2432139.906,model-g3.bpmn,Activity_1ru2k09,5.0
2,,,,model-g3.bpmn;Flow_0q2a6b3,2432189.85,model-g3.bpmn,Flow_0q2a6b3,5.0
2,,,,model-g3.bpmn;Flow_0q2a6b3,2432239.846,model-g3.bpmn,Flow_0q2a6b3,5.0
2,2432252.3695,2432319.032,66.6625,model-g3.bpmn;Process_1vj4efq,2432256.536,model-g3.bpmn,Process_1vj4efq,5.0
2,,,,model-g3.bpmn;Process_1vj4efq,2432323.193,model-g3.bpmn,Process_1vj4efq,5.0
2,,,,model-g3.bpmn;Process_1vj4efq,2432364.831,model-g3.bpmn,Process_1vj4efq,5.0
2,,,,model-g3.bpmn;Process_1vj4efq,2432389.836,model-g3.bpmn,Process_1vj4efq,5.0
2,,,,model-g3.bpmn;Process_1vj4efq,2432423.156,model-g3.bpmn,Process_1vj4efq,5.0
2,,,,model-g3.bpmn;Process_1vj4efq,2432439.85,model-g3.bpmn,Process_1vj4efq,5.0
2,,,,model-g3.bpmn;Process_1vj4efq,2432556.506,model-g3.bpmn,Process_1vj4efq,5.0
2,,,,model-g3.bpmn;Process_1vj4efq,2432606.5,model-g3.bpmn,Process_1vj4efq,5.0
2,,,,model-g3.bpmn;Process_1vj4efq,2432681.499,model-g3.bpmn,Process_1vj4efq,5.0
2,,,,model-g3.bpmn;Process_1vj4efq,2432764.815,model-g3.bpmn,Process_1vj4efq,5.0
2,2432768.9665,2432843.959,74.9925,model-g3.bpmn;Process_1vj4efq,2432773.118,model-g3.bpmn,Process_1vj4efq,5.0
2,,,,model-g3.bpmn;Process_1vj4efq,2432848.109,model-g3.bpmn,Process_1vj4efq,5.0
2,,,,model-g3.bpmn;Activity_1ej1zwa,2432931.463,model-g3.bpmn,Activity_1ej1zwa,5.0
2,2432943.962,2433118.929,174.967,model-g3.bpmn;Activity_1ej1zwa,2432956.46,model-g3.bpmn,Activity_1ej1zwa,5.0
2,,,,model-g3.bpmn;Process_1vj4efq,2433123.078,model-g3.bpmn,Process_1vj4efq,5.0
2,,,,model-g3.bpmn;Process_1vj4efq,2433223.116,model-g3.bpmn,Process_1vj4efq,5.0
2,2433227.2635,2433310.5755,83.312,model-g3.bpmn;Process_1vj4efq,2433231.411,model-g3.bpmn,Process_1vj4efq,5.0
2,,,,model-g3.bpmn;Process_1vj4efq,2433314.729,model-g3.bpmn,Process_1vj4efq,5.0
2,2433377.2325,2433552.1995,174.967,model-g3.bpmn;Activity_1s6i798,2433381.414,model-g3.bpmn,Activity_1s6i798,5.0
2,,,,model-g3.bpmn;Activity_1s6i798,2433556.365,model-g3.bpmn,Activity_1s6i798,5.0
2,2433610.5665,2433902.1925,291.626,model-g3.bpmn;Gateway_00v61zr,2433614.724,model-g3.bpmn,Gateway_00v61zr,5.0
2,2433910.527,2434002.1925,91.6655,model-g3.bpmn;Activity_08021wt,2433914.694,model-g3.bpmn,Activity_08021wt,5.0
2,,,,model-g3.bpmn;Process_1vj4efq,2434006.319,model-g3.bpmn,Process_1vj4efq,5.0
2,2434043.817,2434335.4635,291.6465,model-g3.bpmn;Gateway_13mbez0,2434047.98,model-g3.bpmn,Gateway_13mbez0,5.0
2,,,,model-g3.bpmn;Activity_08021wt,2434339.628,model-g3.bpmn,Activity_08021wt,5.0
2,2434377.145,2434602.102,224.957,model-g3.bpmn;Activity_08021wt,2434381.316,model-g3.bpmn,Activity_08021wt,5.0
2,,,,model-g3.bpmn;Activity_08021wt,2434606.284,model-g3.bpmn,Activity_08021wt,5.0
2,2434652.119,2434835.4495,183.3305,model-g3.bpmn;Activity_1n2gw4r,2434656.288,model-g3.bpmn,Activity_1n2gw4r,5.0
2,,,,model-g3.bpmn;Activity_1n2gw4r,2434839.644,model-g3.bpmn,Activity_1n2gw4r,5.0
2,2434902.1015,2435135.3655,233.264,model-g3.bpmn;Activity_08021wt,2434906.281,model-g3.bpmn,Activity_08021wt,5.0
2,,,,model-g3.bpmn;Activity_08021wt,2435139.534,model-g3.bpmn,Activity_08021wt,5.0
2,2435193.7135,2435352.02,158.3065,model-g3.bpmn;Process_1vj4efq,2435197.855,model-g3.bpmn,Process_1vj4efq,5.0
2,,,,model-g3.bpmn;Activity_01dwq74,2435356.201,model-g3.bpmn,Activity_01dwq74,5.0
2,2435368.714,2435543.6965,174.9825,model-g3.bpmn;Activity_01dwq74,2435372.838,model-g3.bpmn,Activity_01dwq74,5.0
2,,,,model-g3.bpmn;Process_1vj4efq,2435547.875,model-g3.bpmn,Process_1vj4efq,5.0
2,2435585.3505,2435785.3035,199.953,model-g3.bpmn;Gateway_13mbez0,2435597.865,model-g3.bpmn,Gateway_13mbez0,5.0
2,,,,model-g3.bpmn;Process_1vj4efq,2435789.466,model-g3.bpmn,Process_1vj4efq,5.0
2,2435843.657,2436185.262,341.605,model-g3.bpmn;Gateway_0aumggf,2435847.828,model-g3.bpmn,Gateway_0aumggf,5.0
2,,,,model-g3.bpmn;Activity_01ecpbr,2436189.414,model-g3.bpmn,Activity_01ecpbr,5.0
2,2436268.5895,2436385.228,116.6385,model-g3.bpmn;Activity_01ecpbr,2436272.741,model-g3.bpmn,Activity_01ecpbr,5.0
2,,,,model-g3.bpmn;Process_1vj4efq,2436389.394,model-g3.bpmn,Process_1vj4efq,5.0
2,2436468.6235,2436601.8715,133.248,model-g3.bpmn;option-answer-for-questionID_9_option_I don't know,2436472.746,model-g3.bpmn,option-answer-for-questionID_9_option_I don't know,5.0
2,,,,model-g3.bpmn;option-answer-for-questionID_9_option_I don't know,2436606.037,model-g3.bpmn,option-answer-for-questionID_9_option_I don't know,5.0
2,2436618.562,2436810.1975,191.6355,model-g3.bpmn;title-for-questionID_9,2436631.062,model-g3.bpmn,title-for-questionID_9,5.0
2,,,,model-g3.bpmn;title-for-questionID_9,2436814.38,model-g3.bpmn,title-for-questionID_9,5.0
2,2436851.8575,2437110.1785,258.321,model-g3.bpmn;title-for-questionID_9,2436856.037,model-g3.bpmn,title-for-questionID_9,5.0
2,,,,model-g3.bpmn;title-for-questionID_9,2437114.345,model-g3.bpmn,title-for-questionID_9,5.0
2,,,,model-g3.bpmn;title-for-questionID_9,2437139.341,model-g3.bpmn,title-for-questionID_9,5.0
2,2437160.159,2437410.129,249.97,model-g3.bpmn;title-for-questionID_9,2437164.342,model-g3.bpmn,title-for-questionID_9,5.0
2,,,,model-g3.bpmn;title-for-questionID_9,2437414.282,model-g3.bpmn,title-for-questionID_9,5.0
2,2437443.447,2437726.7795,283.3325,model-g3.bpmn;title-for-questionID_9,2437447.614,model-g3.bpmn,title-for-questionID_9,5.0
2,,,,model-g3.bpmn;title-for-questionID_9,2437730.946,model-g3.bpmn,title-for-questionID_9,5.0
2,2437751.761,2437943.403,191.642,model-g3.bpmn;title-for-questionID_9,2437755.94,model-g3.bpmn,title-for-questionID_9,5.0
2,,,,model-g3.bpmn;title-for-questionID_9,2437947.565,model-g3.bpmn,title-for-questionID_9,5.0
2,2437993.414,2438260.039,266.625,model-g3.bpmn;title-for-questionID_9,2437997.593,model-g3.bpmn,title-for-questionID_9,5.0
2,,,,model-g3.bpmn;title-for-questionID_9,2438264.19,model-g3.bpmn,title-for-questionID_9,5.0
2,2438285.022,2438576.678,291.656,model-g3.bpmn;title-for-questionID_9,2438289.189,model-g3.bpmn,title-for-questionID_9,5.0
2,,,,model-g3.bpmn;title-for-questionID_9,2438580.838,model-g3.bpmn,title-for-questionID_9,5.0
2,2438610.0035,2438768.306,158.3025,model-g3.bpmn;title-for-questionID_9,2438614.153,model-g3.bpmn,title-for-questionID_9,5.0
2,,,,model-g3.bpmn;Process_1vj4efq,2438772.474,model-g3.bpmn,Process_1vj4efq,5.0
2,2438826.6465,2438959.9485,133.302,model-g3.bpmn;Process_1vj4efq,2438830.825,model-g3.bpmn,Process_1vj4efq,5.0
2,,,,model-g3.bpmn;Activity_08021wt,2438964.115,model-g3.bpmn,Activity_08021wt,5.0
2,2438993.3135,2439201.6065,208.293,model-g3.bpmn;Activity_08021wt,2438997.486,model-g3.bpmn,Activity_08021wt,5.0
2,,,,model-g3.bpmn;Flow_1ufstsu,2439205.757,model-g3.bpmn,Flow_1ufstsu,5.0
2,2439234.9485,2439359.944,124.9955,model-g3.bpmn;Gateway_13mbez0,2439239.114,model-g3.bpmn,Gateway_13mbez0,5.0
2,,,,model-g3.bpmn;Activity_08021wt,2439372.453,model-g3.bpmn,Activity_08021wt,5.0
2,2439409.9375,2439626.546,216.6085,model-g3.bpmn;Activity_08021wt,2439414.111,model-g3.bpmn,Activity_08021wt,5.0
2,,,,model-g3.bpmn;Flow_175jee6,2439630.711,model-g3.bpmn,Flow_175jee6,5.0
2,2439668.2285,2440018.194,349.9655,model-g3.bpmn;Gateway_0aumggf,2439672.4,model-g3.bpmn,Gateway_0aumggf,5.0
2,,,,model-g3.bpmn;Activity_08021wt,2440022.355,model-g3.bpmn,Activity_08021wt,5.0
2,2440076.5105,2440418.1995,341.689,model-g3.bpmn;Activity_08021wt,2440080.673,model-g3.bpmn,Activity_08021wt,5.0
2,,,,model-g3.bpmn;Activity_08021wt,2440422.412,model-g3.bpmn,Activity_08021wt,5.0
2,2440476.468,2440543.1365,66.6685,model-g3.bpmn;Flow_0yohum9,2440480.648,model-g3.bpmn,Flow_0yohum9,5.0
2,,,,model-g3.bpmn;Process_1vj4efq,2440547.299,model-g3.bpmn,Process_1vj4efq,5.0
2,,,,model-g3.bpmn;Activity_01ecpbr,2440588.941,model-g3.bpmn,Activity_01ecpbr,5.0
2,2440618.113,2441134.7435,516.6305,model-g3.bpmn;Activity_01ecpbr,2440622.287,model-g3.bpmn,Activity_01ecpbr,5.0
2,,,,model-g3.bpmn;Activity_01ecpbr,2441138.912,model-g3.bpmn,Activity_01ecpbr,5.0
2,2441184.723,2441368.042,183.319,model-g3.bpmn;Activity_08021wt,2441188.905,model-g3.bpmn,Activity_08021wt,5.0
2,,,,model-g3.bpmn;title-for-questionID_9,2441372.192,model-g3.bpmn,title-for-questionID_9,5.0
2,2441459.708,2441626.3795,166.6715,model-g3.bpmn;title-for-questionID_9,2441463.875,model-g3.bpmn,title-for-questionID_9,5.0
2,,,,model-g3.bpmn;title-for-questionID_9,2441630.595,model-g3.bpmn,title-for-questionID_9,5.0
2,2441651.3395,2441826.3335,174.994,model-g3.bpmn;title-for-questionID_9,2441655.49,model-g3.bpmn,title-for-questionID_9,5.0
2,,,,model-g3.bpmn;title-for-questionID_9,2441830.5,model-g3.bpmn,title-for-questionID_9,5.0
2,2441867.9675,2442034.6485,166.681,model-g3.bpmn;title-for-questionID_9,2441872.133,model-g3.bpmn,title-for-questionID_9,5.0
2,,,,model-g3.bpmn;title-for-questionID_9,2442038.818,model-g3.bpmn,title-for-questionID_9,5.0
2,2442067.959,2442267.954,199.995,model-g3.bpmn;title-for-questionID_9,2442072.111,model-g3.bpmn,title-for-questionID_9,5.0
