participant,Fixation Start,Fixation End,Fixation Duration,tabName_element,Timestamp,tabName,element,taskId
KP1-no,,,,F1_Offload_Container.bpmn;Process_1jt1th5,5309977.929,F1_Offload_Container.bpmn,Process_1jt1th5,1.0
KP1-no,5309990.411,5310190.39,199.979,F1_Offload_Container.bpmn;Process_1jt1th5,5309994.581,F1_Offload_Container.bpmn,Process_1jt1th5,1.0
KP1-no,,,,F1_Offload_Container.bpmn;Process_1jt1th5,5310194.565,F1_Offload_Container.bpmn,Process_1jt1th5,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5310244.542,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5310336.2,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;title-for-questionID_1,5310369.551,F1_Offload_Container.bpmn,title-for-questionID_1,1.0
KP1-no,5310465.3555,5310548.6845,83.329,F1_Offload_Container.bpmn;title-for-questionID_1,5310469.526,F1_Offload_Container.bpmn,title-for-questionID_1,1.0
KP1-no,,,,F1_Offload_Container.bpmn;title-for-questionID_1,5310552.852,F1_Offload_Container.bpmn,title-for-questionID_1,1.0
KP1-no,5310557.0475,5310623.7015,66.654,F1_Offload_Container.bpmn;title-for-questionID_1,5310561.243,F1_Offload_Container.bpmn,title-for-questionID_1,1.0
KP1-no,,,,F1_Offload_Container.bpmn;title-for-questionID_1,5310627.84,F1_Offload_Container.bpmn,title-for-questionID_1,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5310752.84,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;option-answer-for-questionID_1_option_True,5310877.833,F1_Offload_Container.bpmn,option-answer-for-questionID_1_option_True,1.0
KP1-no,,,,F1_Offload_Container.bpmn;option-answer-for-questionID_1_option_True,5310927.815,F1_Offload_Container.bpmn,option-answer-for-questionID_1_option_True,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5311011.134,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;answer_area_for_questionID_1,5311119.513,F1_Offload_Container.bpmn,answer_area_for_questionID_1,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5311227.766,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5311377.759,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5311436.077,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5311469.405,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5311486.138,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5311594.479,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5311669.384,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;next-button-area-in-questionID_1,5311761.04,F1_Offload_Container.bpmn,next-button-area-in-questionID_1,1.0
KP1-no,,,,F1_Offload_Container.bpmn;question-area-for-questionID_1,5311794.419,F1_Offload_Container.bpmn,question-area-for-questionID_1,1.0
KP1-no,5311798.5595,5311890.207,91.6475,F1_Offload_Container.bpmn;next-button-area-in-questionID_1,5311802.7,F1_Offload_Container.bpmn,next-button-area-in-questionID_1,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5311894.358,F1_Offload_Container.bpmn,,1.0
KP1-no,5311923.5195,5312006.8455,83.326,F1_Offload_Container.bpmn;nan,5311927.686,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5312011.014,F1_Offload_Container.bpmn,,1.0
KP1-no,5312015.207,5312081.836,66.629,F1_Offload_Container.bpmn;nan,5312019.4,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5312086.003,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;DataObjectReference_1o3kg97_label,5312252.731,F1_Offload_Container.bpmn,DataObjectReference_1o3kg97_label,1.0
KP1-no,,,,F1_Offload_Container.bpmn;DataObjectReference_1o3kg97_label,5312335.976,F1_Offload_Container.bpmn,DataObjectReference_1o3kg97_label,1.0
KP1-no,,,,F1_Offload_Container.bpmn;Process_1jt1th5,5312452.637,F1_Offload_Container.bpmn,Process_1jt1th5,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5312569.328,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5312611.022,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5312660.948,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5312685.939,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;Process_1jt1th5,5312710.932,F1_Offload_Container.bpmn,Process_1jt1th5,1.0
KP1-no,5312965.0705,5313056.7585,91.688,F1_Offload_Container.bpmn;nan,5312969.234,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5313060.895,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5313094.281,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;title-for-questionID_1,5313169.213,F1_Offload_Container.bpmn,title-for-questionID_1,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5313235.902,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5313294.288,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5313577.523,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5313652.547,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5313677.486,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5313702.509,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5313735.84,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5313785.815,F1_Offload_Container.bpmn,,1.0
KP1-no,5313806.6395,5314014.9525,208.313,F1_Offload_Container.bpmn;nan,5313810.809,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5314019.117,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5314102.448,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5314227.428,F1_Offload_Container.bpmn,,1.0
KP1-no,5314239.943,5314323.276,83.333,F1_Offload_Container.bpmn;nan,5314244.089,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5314327.443,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5314344.113,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5314419.069,F1_Offload_Container.bpmn,,1.0
KP1-no,5314423.2475,5314523.232,99.9845,F1_Offload_Container.bpmn;nan,5314427.426,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5314527.405,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5314577.384,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5314669.115,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5314719.035,F1_Offload_Container.bpmn,,1.0
KP1-no,5314781.537,5314864.8925,83.3555,F1_Offload_Container.bpmn;title-for-questionID_1,5314785.711,F1_Offload_Container.bpmn,title-for-questionID_1,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5314869.062,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;title-for-questionID_1,5314894.015,F1_Offload_Container.bpmn,title-for-questionID_1,1.0
KP1-no,5314898.193,5314998.188,99.995,F1_Offload_Container.bpmn;title-for-questionID_1,5314902.371,F1_Offload_Container.bpmn,title-for-questionID_1,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5315002.341,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5315044.117,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5315119.083,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5315144.046,F1_Offload_Container.bpmn,,1.0
KP1-no,5315148.1835,5315448.1585,299.975,F1_Offload_Container.bpmn;nan,5315152.321,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5315452.358,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5315618.946,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5315693.923,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5315793.917,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5315818.912,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5315852.336,F1_Offload_Container.bpmn,,1.0
KP1-no,5315914.7585,5315989.732,74.9735,F1_Offload_Container.bpmn;nan,5315927.255,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5315993.894,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5316093.892,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5316127.212,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5316177.205,F1_Offload_Container.bpmn,,1.0
KP1-no,5316231.37,5316323.02,91.65,F1_Offload_Container.bpmn;nan,5316235.541,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5316327.186,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5316402.198,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5316477.234,F1_Offload_Container.bpmn,,1.0
KP1-no,5316514.691,5316689.649,174.958,F1_Offload_Container.bpmn;nan,5316527.194,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5316693.818,F1_Offload_Container.bpmn,,1.0
KP1-no,5316789.658,5316864.666,75.008,F1_Offload_Container.bpmn;nan,5316802.146,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5316868.858,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5316943.789,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5317168.76,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5317202.089,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5317260.427,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5317327.077,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5317368.74,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5317468.729,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5317568.719,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5317618.713,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5317652.038,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5317677.038,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5317710.364,F1_Offload_Container.bpmn,,1.0
KP1-no,5317731.222,5317847.849,116.627,F1_Offload_Container.bpmn;nan,5317735.403,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5317860.347,F1_Offload_Container.bpmn,,1.0
KP1-no,5317914.521,5318039.5225,125.0015,F1_Offload_Container.bpmn;nan,5317918.69,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5318043.689,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5318135.374,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;title-for-questionID_1,5318193.648,F1_Offload_Container.bpmn,title-for-questionID_1,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5318226.994,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5318443.629,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5318510.331,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;title-for-questionID_1,5318576.944,F1_Offload_Container.bpmn,title-for-questionID_1,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5318593.614,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5318626.927,F1_Offload_Container.bpmn,,1.0
KP1-no,5318706.0845,5318839.4255,133.341,F1_Offload_Container.bpmn;nan,5318710.251,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5318843.61,F1_Offload_Container.bpmn,,1.0
KP1-no,5318847.782,5318981.063,133.281,F1_Offload_Container.bpmn;nan,5318851.954,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5318993.573,F1_Offload_Container.bpmn,,1.0
KP1-no,5319031.0495,5319114.4405,83.391,F1_Offload_Container.bpmn;nan,5319035.217,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;title-for-questionID_1,5319118.611,F1_Offload_Container.bpmn,title-for-questionID_1,1.0
KP1-no,5319181.043,5319289.3915,108.3485,F1_Offload_Container.bpmn;title-for-questionID_1,5319185.219,F1_Offload_Container.bpmn,title-for-questionID_1,1.0
KP1-no,,,,F1_Offload_Container.bpmn;title-for-questionID_1,5319293.537,F1_Offload_Container.bpmn,title-for-questionID_1,1.0
KP1-no,,,,F1_Offload_Container.bpmn;title-for-questionID_1,5319326.893,F1_Offload_Container.bpmn,title-for-questionID_1,1.0
KP1-no,,,,F1_Offload_Container.bpmn;title-for-questionID_1,5319343.619,F1_Offload_Container.bpmn,title-for-questionID_1,1.0
KP1-no,5319422.7,5319505.9975,83.2975,F1_Offload_Container.bpmn;nan,5319435.197,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5319510.163,F1_Offload_Container.bpmn,,1.0
KP1-no,5319530.995,5319597.706,66.711,F1_Offload_Container.bpmn;nan,5319535.161,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5319601.926,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;title-for-questionID_1,5319635.144,F1_Offload_Container.bpmn,title-for-questionID_1,1.0
KP1-no,,,,F1_Offload_Container.bpmn;title-for-questionID_1,5319718.499,F1_Offload_Container.bpmn,title-for-questionID_1,1.0
KP1-no,,,,F1_Offload_Container.bpmn;title-for-questionID_1,5319760.131,F1_Offload_Container.bpmn,title-for-questionID_1,1.0
KP1-no,,,,F1_Offload_Container.bpmn;title-for-questionID_1,5319793.464,F1_Offload_Container.bpmn,title-for-questionID_1,1.0
KP1-no,5319872.631,5319947.6385,75.0075,F1_Offload_Container.bpmn;title-for-questionID_1,5319876.794,F1_Offload_Container.bpmn,title-for-questionID_1,1.0
KP1-no,,,,F1_Offload_Container.bpmn;title-for-questionID_1,5319960.135,F1_Offload_Container.bpmn,title-for-questionID_1,1.0
KP1-no,5320030.961,5320139.258,108.297,F1_Offload_Container.bpmn;title-for-questionID_1,5320035.126,F1_Offload_Container.bpmn,title-for-questionID_1,1.0
KP1-no,,,,F1_Offload_Container.bpmn;title-for-questionID_1,5320143.426,F1_Offload_Container.bpmn,title-for-questionID_1,1.0
KP1-no,5320180.9205,5320264.2545,83.334,F1_Offload_Container.bpmn;title-for-questionID_1,5320185.087,F1_Offload_Container.bpmn,title-for-questionID_1,1.0
KP1-no,,,,F1_Offload_Container.bpmn;title-for-questionID_1,5320268.414,F1_Offload_Container.bpmn,title-for-questionID_1,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5320285.074,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5320360.152,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5320476.72,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;question-area-for-questionID_1,5320568.378,F1_Offload_Container.bpmn,question-area-for-questionID_1,1.0
KP1-no,,,,F1_Offload_Container.bpmn;next-button-area-in-questionID_1,5320585.039,F1_Offload_Container.bpmn,next-button-area-in-questionID_1,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5320685.029,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;title-for-questionID_1,5320801.683,F1_Offload_Container.bpmn,title-for-questionID_1,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5320860.043,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;title-for-questionID_1,5321034.997,F1_Offload_Container.bpmn,title-for-questionID_1,1.0
KP1-no,,,,F1_Offload_Container.bpmn;title-for-questionID_1,5321076.664,F1_Offload_Container.bpmn,title-for-questionID_1,1.0
KP1-no,,,,F1_Offload_Container.bpmn;title-for-questionID_1,5321093.316,F1_Offload_Container.bpmn,title-for-questionID_1,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5321143.31,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5321176.651,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5321509.96,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5321576.622,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5321634.962,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5321876.571,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;nan,5321951.564,F1_Offload_Container.bpmn,,1.0
KP1-no,,,,F1_Offload_Container.bpmn;Process_1jt1th5,5322318.259,F1_Offload_Container.bpmn,Process_1jt1th5,1.0
KP1-no,5322322.422,5322464.0355,141.6135,F1_Offload_Container.bpmn;DataObjectReference_0g6em18,5322326.585,F1_Offload_Container.bpmn,DataObjectReference_0g6em18,1.0
KP1-no,,,,F1_Offload_Container.bpmn;DataObjectReference_0g6em18,5322468.203,F1_Offload_Container.bpmn,DataObjectReference_0g6em18,1.0
KP1-no,5322488.9995,5322605.647,116.6475,F1_Offload_Container.bpmn;DataObjectReference_0g6em18,5322493.161,F1_Offload_Container.bpmn,DataObjectReference_0g6em18,1.0
KP1-no,,,,F1_Offload_Container.bpmn;DataObjectReference_0g6em18,5322609.812,F1_Offload_Container.bpmn,DataObjectReference_0g6em18,1.0
KP1-no,,,,F1_Offload_Container.bpmn;DataObjectReference_0g6em18,5322626.504,F1_Offload_Container.bpmn,DataObjectReference_0g6em18,1.0
KP1-no,5322672.3125,5322747.3015,74.989,F1_Offload_Container.bpmn;DataObjectReference_0g6em18_label,5322676.476,F1_Offload_Container.bpmn,DataObjectReference_0g6em18_label,1.0
KP1-no,,,,F1_Offload_Container.bpmn;DataObjectReference_0g6em18_label,5322751.473,F1_Offload_Container.bpmn,DataObjectReference_0g6em18_label,1.0
KP1-no,5322763.9655,5322905.6515,141.686,F1_Offload_Container.bpmn;DataObjectReference_0g6em18_label,5322768.127,F1_Offload_Container.bpmn,DataObjectReference_0g6em18_label,1.0
KP1-no,,,,F1_Offload_Container.bpmn;DataObjectReference_0g6em18_label,5322909.836,F1_Offload_Container.bpmn,DataObjectReference_0g6em18_label,1.0
KP1-no,5322913.973,5323130.629,216.656,F1_Offload_Container.bpmn;DataObjectReference_0g6em18_label,5322918.11,F1_Offload_Container.bpmn,DataObjectReference_0g6em18_label,1.0
KP1-no,,,,F1_Offload_Container.bpmn;Process_1jt1th5,5323134.818,F1_Offload_Container.bpmn,Process_1jt1th5,1.0
KP1-no,5323147.2635,5323263.9425,116.679,F1_Offload_Container.bpmn;Process_1jt1th5,5323151.42,F1_Offload_Container.bpmn,Process_1jt1th5,1.0
KP1-no,,,,F1_Offload_Container.bpmn;DataObjectReference_0g6em18_label,5323268.07,F1_Offload_Container.bpmn,DataObjectReference_0g6em18_label,1.0
KP1-no,,,,F1_Offload_Container.bpmn;DataObjectReference_0g6em18_label,5323284.738,F1_Offload_Container.bpmn,DataObjectReference_0g6em18_label,1.0
KP1-no,,,,F1_Offload_Container.bpmn;DataObjectReference_0g6em18_label,5323301.402,F1_Offload_Container.bpmn,DataObjectReference_0g6em18_label,1.0
KP1-no,5323330.5815,5323447.222,116.6405,F1_Offload_Container.bpmn;Activity_0f5f29o,5323334.744,F1_Offload_Container.bpmn,Activity_0f5f29o,1.0
KP1-no,,,,F1_Offload_Container.bpmn;Activity_0f5f29o,5323451.393,F1_Offload_Container.bpmn,Activity_0f5f29o,1.0
KP1-no,5323455.553,5323555.538,99.985,F1_Offload_Container.bpmn;Activity_0f5f29o,5323459.713,F1_Offload_Container.bpmn,Activity_0f5f29o,1.0
KP1-no,,,,F1_Offload_Container.bpmn;Activity_0f5f29o,5323559.703,F1_Offload_Container.bpmn,Activity_0f5f29o,1.0
KP1-no,5323563.87,5323672.2215,108.3515,F1_Offload_Container.bpmn;Activity_0f5f29o,5323568.037,F1_Offload_Container.bpmn,Activity_0f5f29o,1.0
KP1-no,,,,F1_Offload_Container.bpmn;Activity_0f5f29o,5323676.386,F1_Offload_Container.bpmn,Activity_0f5f29o,1.0
KP1-no,5323713.871,5324030.485,316.614,F1_Offload_Container.bpmn;Process_1jt1th5,5323718.044,F1_Offload_Container.bpmn,Process_1jt1th5,1.0
KP1-no,,,,F1_Offload_Container.bpmn;Process_1jt1th5,5324034.648,F1_Offload_Container.bpmn,Process_1jt1th5,1.0
KP1-no,,,,F1_Offload_Container.bpmn;Activity_0f5f29o,5324051.332,F1_Offload_Container.bpmn,Activity_0f5f29o,1.0
KP1-no,5324088.843,5324247.1795,158.3365,F1_Offload_Container.bpmn;Activity_0f5f29o,5324101.338,F1_Offload_Container.bpmn,Activity_0f5f29o,1.0
KP1-no,,,,F1_Offload_Container.bpmn;Activity_0f5f29o,5324251.36,F1_Offload_Container.bpmn,Activity_0f5f29o,1.0
KP1-no,,,,F1_Offload_Container.bpmn;Activity_0f5f29o,5324301.326,F1_Offload_Container.bpmn,Activity_0f5f29o,1.0
KP1-no,,,,F1_Offload_Container.bpmn;Activity_0f5f29o,5324326.286,F1_Offload_Container.bpmn,Activity_0f5f29o,1.0
KP1-no,,,,F1_Offload_Container.bpmn;Activity_0f5f29o,5324426.275,F1_Offload_Container.bpmn,Activity_0f5f29o,1.0
KP1-no,,,,F1_Offload_Container.bpmn;Activity_0f5f29o,5324484.599,F1_Offload_Container.bpmn,Activity_0f5f29o,1.0
KP1-no,,,,F1_Offload_Container.bpmn;Activity_0f5f29o,5324551.297,F1_Offload_Container.bpmn,Activity_0f5f29o,1.0
KP1-no,5324772.0785,5324997.057,224.9785,F1_Offload_Container.bpmn;Activity_0f5f29o,5324776.256,F1_Offload_Container.bpmn,Activity_0f5f29o,1.0
KP1-no,,,,F1_Offload_Container.bpmn;Activity_0f5f29o,5325001.213,F1_Offload_Container.bpmn,Activity_0f5f29o,1.0
